year,country,code,gdp,pop,unemp,hc
2000,"Hong Kong SAR, China",HKG,1.53401E+11,6665000,4.92,NA
2000,Hungary,HUN,1.07012E+11,10210971,6.56,NA
2000,IBRD only,IBD,1.13635E+13,3987195302,6.071372786,NA
2000,Iceland,ISL,10639976864,281205,1.94,NA
2000,IDA & IBRD total,IBT,1.22006E+13,5065364303,5.761249833,NA
2000,IDA blend,IDB,3.95175E+11,360173395,3.772858523,NA
2000,IDA only,IDX,4.42306E+11,717995606,4.597313635,NA
2000,IDA total,IDA,8.39849E+11,1078169001,4.345499492,NA
2000,India,IND,8.73357E+11,1056575548,5.75,NA
2000,Indonesia,IDN,4.53414E+11,211513822,6.08,NA
2000,"Iran, Islamic Rep.",IRN,3.15801E+11,65623397,11.48,NA
2000,Iraq,IRQ,1.17141E+11,23497589,9.04,NA
2000,Ireland,IRL,1.67726E+11,3805174,4.32,NA
2000,Isle of Man,IMN,3493060604,76942,NA,NA
2000,Israel,ISR,1.74269E+11,6289000,11.1,NA
2000,Italy,ITA,2.06866E+12,56942108,10.84,NA
2000,Jamaica,JAM,12367092204,2654698,15.54,NA
2000,Japan,JPN,5.34894E+12,126843000,4.7,NA
2000,Jordan,JOR,14787230539,5122495,13.7,NA
2000,Kazakhstan,KAZ,66851172843,14883626,12.75,NA
2000,Kenya,KEN,26198643973,31964557,2.93,NA
2000,Kiribati,KIR,145368938.3,84405,NA,NA
2000,"Korea, Dem. People's Rep.",PRK,NA,22929078,2.97,NA
2000,"Korea, Rep.",KOR,7.24597E+11,47008111,4.4,NA
2000,Kosovo,XKX,3146814832,1700000,NA,NA
2000,Kuwait,KWT,73763782275,2045123,0.8,NA
2000,Kyrgyz Republic,KGZ,3205081829,4898400,7.54,NA
2000,Lao PDR,LAO,3582186705,5323701,1.95,NA
2000,Late-demographic dividend,LTE,7.09427E+12,2045125929,5.210171765,NA
2000,Latin America & Caribbean,LCN,3.92049E+12,520903474,9.16140121,NA
2000,Latin America & Caribbean (excluding high income),LAC,3.32213E+12,471805920,8.862171879,NA
2000,Latin America & the Caribbean (IDA & IBRD countries),TLA,3.76078E+12,504921279,9.235127765,NA
2000,Latvia,LVA,16484399054,2367550,14.21,NA
2000,Least developed countries: UN classification,LDC,3.70658E+11,657215854,4.193048365,NA
2000,Lebanon,LBN,21967850867,3842774,8.31,NA
2000,Lesotho,LSO,1634886335,2032805,35.27,NA
2000,Liberia,LBR,1749841726,2848447,2.32,NA
2000,Libya,LBY,48026344513,5357893,19.19,NA
2000,Liechtenstein,LIE,NA,33184,NA,NA
2000,Lithuania,LTU,24261124726,3499536,15.93,NA
2000,Low & middle income,LMY,1.1402E+13,5015320490,5.598180628,NA
2000,Low income,LIC,2.11979E+11,387088076,4.998085637,NA
2000,Lower middle income,LMC,2.99157E+12,2445096607,5.713624996,NA
2000,Luxembourg,LUX,40777874685,436300,2.35,NA
2000,"Macao SAR, China",MAC,9699647117,427772,6.8,NA
2000,Madagascar,MDG,7733390473,15766806,5.8,NA
2000,Malawi,MWI,4376161604,11148751,6.03,NA
2000,Malaysia,MYS,1.62523E+11,23194252,3,NA
2000,Maldives,MDV,1619839034,279396,1.97,NA
2000,Mali,MLI,6075764625,10946448,5.33,NA
2000,Malta,MLT,7110352033,390087,6.32,NA
2000,Marshall Islands,MHL,134039665.2,50754,NA,NA
2000,Mauritania,MRT,3876089575,2630217,9.98,NA
2000,Mauritius,MUS,6721484096,1186873,9.24,NA
2000,Mexico,MEX,9.15216E+11,98899845,2.65,NA
