year,recipient_iso3,pmm_fh,pmm_polity,gdp,pop,unemp,disaster,civilwar,dist,distw,distwces,trade,atopally
2013,AGO,4.5,7,98778851724,26015786,7.38,8.999999996,0,11769.5146484375,11829.967001156616,11803.086859800445,2789779200,0
2014,AGO,5,6,103543000000,26941773,7.31,0,0,11769.5146484375,11829.967001156616,11803.086859800445,3995155968,0
2000,BDI,2,-1,1462076151,6378871,1.87,0,1,10011.623046875,9997.050326437378,9965.252117795892,4792375,0
2001,BDI,2,0,1492133616,6525546,1.86,0,1,10011.623046875,9997.050326437378,9965.252117795892,4152522.5,0
2002,BDI,2.5,2,1558481627,6704118,1.89,0,1,10011.623046875,9997.050326437378,9965.252117795892,4295681.5,0
2003,BDI,3,3,1539410052,6909161,1.89,0,1,10011.623046875,9997.050326437378,9965.252117795892,3997739.5,0
2004,BDI,3,5,1613819866,7131688,1.85,3.000000005,1,10011.623046875,9997.050326437378,9965.252117795892,3466697.25,0
2005,BDI,4,6,1628344244,7364857,1.81,0,1,10011.623046875,9997.050326437378,9965.252117795892,6427826.5,0
2006,BDI,3.5,6,1716499661,7607850,1.73,21.99999997,1,10011.623046875,9997.050326437378,9965.252117795892,10203262,0
2007,BDI,3.5,6,1775752414,7862226,1.66,4.999999991,0,10011.623046875,9997.050326437378,9965.252117795892,6951129,0
2008,BDI,3.5,6,1862084400,8126104,1.63,9.000000043,1,10011.623046875,9997.050326437378,9965.252117795892,13142273,0
2009,BDI,3.5,5,1933080966,8397661,1.75,0,0,10011.623046875,9997.050326437378,9965.252117795892,21455694,0
2010,BDI,3.5,5,2032135191,8675606,1.74,8.999999956,0,10011.623046875,9997.050326437378,9965.252117795892,32990920,0
2011,BDI,3,3,2114083126,8958406,1.7,11.99999998,0,10011.623046875,9997.050326437378,9965.252117795892,39311332,0
2012,BDI,3.5,6,2208090234,9245992,1.67,0,0,10011.623046875,9997.050326437378,9965.252117795892,43414928,0
2013,BDI,3.5,6,2316820909,9540302,1.64,0,0,10011.623046875,9997.050326437378,9965.252117795892,35840336,0
2014,BDI,2.5,1,2415069213,9844301,1.57,96.00000037,1,10011.623046875,9997.050326437378,9965.252117795892,34496332,0
2000,BEN,6,6,6520843116,6865946,0.84,0,0,11545.876953125,11663.807856619262,11645.768926344477,60420072,0
2001,BEN,5.5,6,6868608529,7076728,0.75,0,0,11545.876953125,11663.807856619262,11645.768926344477,32301318,0
2002,BEN,5.5,6,7187520143,7295400,0.69,0,0,11545.876953125,11663.807856619262,11645.768926344477,30891556,0
2003,BEN,6,6,7435027918,7520556,0.73,0,0,11545.876953125,11663.807856619262,11645.768926344477,38393788,0
2004,BEN,6,6,7764376201,7750003,0.77,0,0,11545.876953125,11663.807856619262,11645.768926344477,43106004,0
2005,BEN,6,6,7897392742,7982223,0.8,0,0,11545.876953125,11663.807856619262,11645.768926344477,32719490,0
2006,BEN,6,7,8208845286,8216893,0.81,0,0,11545.876953125,11663.807856619262,11645.768926344477,868280256,0
2007,BEN,6,7,8700255441,8454790,0.82,9.999999984,0,11545.876953125,11663.807856619262,11645.768926344477,1083915520,0
2008,BEN,6,7,9126270155,8696915,0.85,15.00000007,0,11545.876953125,11663.807856619262,11645.768926344477,1378273792,0
2009,BEN,5.5,7,9337935021,8944713,0.97,9.999999989,0,11545.876953125,11663.807856619262,11645.768926344477,1378732928,0
2010,BEN,5.5,6,9535345011,9199254,1.04,46.00000018,0,11545.876953125,11663.807856619262,11645.768926344477,141065616,0
2011,BEN,5,6,9817949078,9460829,2.65,0,0,11545.876953125,11663.807856619262,11645.768926344477,119999224,0
2012,BEN,5.5,6,10290312533,9729254,2.65,4,0,11545.876953125,11663.807856619262,11645.768926344477,121117080,0
2013,BEN,5,6,11030333538,10004594,2.66,0,0,11545.876953125,11663.807856619262,11645.768926344477,189509168,0
2014,BEN,5,6,11731606748,10286839,2.61,0,0,11545.876953125,11663.807856619262,11645.768926344477,170742944,0
2000,BGD,4.5,6,67013472134,127657862,3.27,142.0000001,0,3036.238037109375,2943.368114466095,2789.0724686328394,657302528,0
2001,BGD,4.5,6,70415938962,130088709,3.59,247.0000001,0,3036.238037109375,2943.368114466095,2789.0724686328394,536548768,0
2002,BGD,4,6,73115069176,132478077,3.96,132,0,3036.238037109375,2943.368114466095,2789.0724686328394,607371072,0
2003,BGD,4,6,76580407159,134791598,4.32,290.9999998,0,3036.238037109375,2943.368114466095,2789.0724686328394,668108992,0
2004,BGD,4,6,80592862795,136986429,4.3,1002,0,3036.238037109375,2943.368114466095,2789.0724686328394,789601536,0
2005,BGD,4,6,85860367933,139035505,4.25,231.9999999,1,3036.238037109375,2943.368114466095,2789.0724686328394,1028688704,0
2006,BGD,4,6,91588890099,140921154,3.59,153.9999999,1,3036.238037109375,2943.368114466095,2789.0724686328394,1267531264,0
2007,BGD,3.5,-6,98053782906,142660381,3.91,5504.999782,0,3036.238037109375,2943.368114466095,2789.0724686328394,1385188096,1
2008,BGD,4,-6,103951000000,144304164,4.29,68.00000002,0,3036.238037109375,2943.368114466095,2789.0724686328394,1910098432,1
2009,BGD,4,-1,109195000000,145924795,5,23,0,3036.238037109375,2943.368114466095,2789.0724686328394,2262263808,1
2010,BGD,4,4,115279000000,147575433,3.38,107.0000001,0,3036.238037109375,2943.368114466095,2789.0724686328394,3029723136,1
2011,BGD,4.5,5,122731000000,149273134,3.71,40.00000001,0,3036.238037109375,2943.368114466095,2789.0724686328394,4103839232,1
2012,BGD,4,6,130735000000,151005733,4.06,272,0,3036.238037109375,2943.368114466095,2789.0724686328394,3856604416,1
2013,BGD,4.5,6,138597000000,152761413,4.43,50,0,3036.238037109375,2943.368114466095,2789.0724686328394,4460055552,1
2014,BGD,4.5,5,146997000000,154517385,4.39,79.00000002,0,3036.238037109375,2943.368114466095,2789.0724686328394,4768310272,1
2000,BGR,5.5,8,32555406324,8170172,16.22,10.00000006,0,7364.44677734375,7576.192204337311,7550.9865174545,97530512,0
2001,BGR,6,9,33798124235,8009142,19.92,2,0,7364.44677734375,7576.192204337311,7550.9865174545,60523900,0
2002,BGR,6.5,9,35810138200,7837161,18.11,1,0,7364.44677734375,7576.192204337311,7550.9865174545,91246080,0
2003,BGR,6.5,9,37655019586,7775327,13.73,1.999999999,0,7364.44677734375,7576.192204337311,7550.9865174545,170899888,0
2004,BGR,6.5,9,40080703028,7716860,12.04,7.00000001,0,7364.44677734375,7576.192204337311,7550.9865174545,257336528,0
2005,BGR,6.5,9,42947892705,7658972,10.08,0.999999989,0,7364.44677734375,7576.192204337311,7550.9865174545,386674976,0
2006,BGR,6.5,9,45869280339,7601022,8.95,0.999999996,0,7364.44677734375,7576.192204337311,7550.9865174545,527797632,0
2007,BGR,6.5,9,48876966228,7545338,6.88,13,0,7364.44677734375,7576.192204337311,7550.9865174545,419109312,0
2008,BGR,6,9,51851436379,7492561,5.61,3.00000001,0,7364.44677734375,7576.192204337311,7550.9865174545,600424192,0
2009,BGR,6.5,9,50101534230,7444443,6.82,0,0,7364.44677734375,7576.192204337311,7550.9865174545,405767904,0
2010,BGR,6.5,9,50381825504,7395599,10.28,0.999999982,0,7364.44677734375,7576.192204337311,7550.9865174545,414966656,0
