year,recipient_iso3,pmm_fh,pmm_polity,v2x_polyarchy,v2x_libdem,v2x_partipdem,v2x_delibdem,v2x_egaldem,gdp,pop,unemp,china_gdp,disaster,civilwar,dist,distw,distwces,trade,atopally,region
2011,MDA,4.5,8,0.604,0.456,0.366,0.431,0.432,7380775145,2859833,6.68,6668540000000,0,0,6742.6064453125,7088.328879702759,7063.512715442044,249505360,0,Europe & Central Asia
2012,MDA,4.5,6,0.417,0.27,0.261,0.267,0.308,7337248195,2859458,5.58,7192930000000,0,0,6742.6064453125,7088.328879702759,7063.512715442044,263186736,0,Europe & Central Asia
2013,MDA,5,7,0.513,0.388,0.33,0.37,0.37,8000819052,2858692,5.1,7751550000000,0,0,6742.6064453125,7088.328879702759,7063.512715442044,306322784,0,Europe & Central Asia
2014,MDA,4.5,7,0.554,0.384,0.316,0.354,0.346,8400830055,2856950,3.86,8327160000000,0,0,6742.6064453125,7088.328879702759,7063.512715442044,292419616,0,Europe & Central Asia
2000,MMR,1,-7,0.09,0.018,0.047,0.035,0.072,16622791715,46719698,0.82,2232180000000,0,1,3234.0791015625,2887.055048995018,2698.9125203541125,452306240,0,East Asia & Pacific
2001,MMR,1,-7,0.09,0.018,0.047,0.035,0.072,18508480721,47225119,0.82,2418250000000,50.99999996,1,3234.0791015625,2887.055048995018,2698.9125203541125,380154816,0,East Asia & Pacific
2002,MMR,1,-7,0.09,0.018,0.047,0.035,0.072,20734220556,47702163,0.83,2639120000000,21.00000002,1,3234.0791015625,2887.055048995018,2698.9125203541125,532000224,0,East Asia & Pacific
2003,MMR,1,-7,0.09,0.018,0.047,0.038,0.072,23604665405,48148907,0.83,2904040000000,0,1,3234.0791015625,2887.055048995018,2698.9125203541125,611705216,1,East Asia & Pacific
2004,MMR,1,-8,0.09,0.018,0.047,0.038,0.072,26806558393,48564489,0.82,3197740000000,306.9999995,1,3234.0791015625,2887.055048995018,2698.9125203541125,563876224,1,East Asia & Pacific
2005,MMR,1,-8,0.09,0.018,0.047,0.038,0.072,30443926904,48949931,0.79,3562110000000,17.00000001,1,3234.0791015625,2887.055048995018,2698.9125203541125,565617920,1,East Asia & Pacific
2006,MMR,1,-8,0.09,0.018,0.047,0.038,0.073,34424805650,49301049,0.75,4015240000000,58.99999988,1,3234.0791015625,2887.055048995018,2698.9125203541125,721723584,1,East Asia & Pacific
2007,MMR,1,-8,0.091,0.018,0.047,0.039,0.073,38552833926,49621479,0.72,4586650000000,5,1,3234.0791015625,2887.055048995018,2698.9125203541125,930135680,1,East Asia & Pacific
2008,MMR,1,-8,0.09,0.018,0.052,0.039,0.072,42506544782,49929642,0.71,5029290000000,138366.4963,1,3234.0791015625,2887.055048995018,2698.9125203541125,1184268416,1,East Asia & Pacific
2009,MMR,1.5,-7,0.117,0.057,0.086,0.053,0.097,46990989123,50250366,0.78,5501980000000,23.99999997,1,3234.0791015625,2887.055048995018,2698.9125203541125,1609310208,1,East Asia & Pacific
2010,MMR,1,-8,0.087,0.018,0.037,0.036,0.074,51518307518,50600827,0.79,6087160000000,45.00000004,1,3234.0791015625,2887.055048995018,2698.9125203541125,2477918976,1,East Asia & Pacific
2011,MMR,1.5,-7,0.117,0.076,0.087,0.078,0.117,54398944605,50990612,0.79,6668540000000,224.9999979,1,3234.0791015625,2887.055048995018,2698.9125203541125,3312603392,1,East Asia & Pacific
2012,MMR,1.5,-7,0.117,0.055,0.085,0.066,0.106,58387839939,51413703,0.79,7192930000000,39.99999992,1,3234.0791015625,2887.055048995018,2698.9125203541125,3951783168,1,East Asia & Pacific
2013,MMR,1,-7,0.088,0.026,0.051,0.046,0.074,63307599931,51852464,0.8,7751550000000,23.00000002,1,3234.0791015625,2887.055048995018,2698.9125203541125,5171019264,1,East Asia & Pacific
2014,MMR,1.5,-7,0.117,0.045,0.065,0.035,0.099,68366456808,52280816,0.78,8327160000000,0,1,3234.0791015625,2887.055048995018,2698.9125203541125,6267154432,1,East Asia & Pacific
2000,MNG,5.5,10,0.683,0.549,0.4,0.594,0.548,3837047132,2397417,6.18,2232180000000,23.00000024,0,1172.0472412109375,1783.0820525332451,1635.5865050143009,192072448,1,East Asia & Pacific
2001,MNG,5.5,10,0.674,0.541,0.397,0.593,0.541,3950344027,2419594,6.16,2418250000000,16.0000001,0,1172.0472412109375,1783.0820525332451,1635.5865050143009,94580056,1,East Asia & Pacific
2002,MNG,6,10,0.683,0.548,0.4,0.599,0.547,4137312960,2443261,6.2,2639120000000,1.5,0,1172.0472412109375,1783.0820525332451,1635.5865050143009,111643080,1,East Asia & Pacific
2003,MNG,6,10,0.681,0.549,0.4,0.597,0.546,4427116614,2468765,6.8,2904040000000,16.49999995,0,1172.0472412109375,1783.0820525332451,1635.5865050143009,114248080,1,East Asia & Pacific
2004,MNG,6,10,0.679,0.547,0.399,0.6,0.531,4897515726,2496394,6.96,3197740000000,0,0,1172.0472412109375,1783.0820525332451,1635.5865050143009,139475248,1,East Asia & Pacific
2005,MNG,6,10,0.679,0.548,0.399,0.611,0.532,5252765132,2526429,7.09,3562110000000,0,0,1172.0472412109375,1783.0820525332451,1635.5865050143009,166785792,1,East Asia & Pacific
2006,MNG,6,10,0.696,0.559,0.408,0.624,0.544,5702204050,2558854,7.14,4015240000000,0,0,1172.0472412109375,1783.0820525332451,1635.5865050143009,198367328,1,East Asia & Pacific
2007,MNG,6,10,0.693,0.557,0.407,0.62,0.542,6286566854,2593819,7.2,4586650000000,0,0,1172.0472412109375,1783.0820525332451,1635.5865050143009,284339808,1,East Asia & Pacific
2008,MNG,6,10,0.67,0.536,0.397,0.6,0.527,6846094436,2631899,5.57,5029290000000,52.0000004,0,1172.0472412109375,1783.0820525332451,1635.5865050143009,488879680,1,East Asia & Pacific
2009,MNG,5.5,9,0.672,0.532,0.4,0.561,0.487,6759244954,2673794,5.86,5501980000000,25.9999998,0,1172.0472412109375,1783.0820525332451,1635.5865050143009,341288448,1,East Asia & Pacific
2010,MNG,6,10,0.681,0.549,0.391,0.601,0.547,7189481824,2719902,6.55,6087160000000,11.00000024,0,1172.0472412109375,1783.0820525332451,1635.5865050143009,1031700416,1,East Asia & Pacific
2011,MNG,5.5,9,0.596,0.456,0.387,0.461,0.431,8432599136,2770357,4.77,6668540000000,0,0,1172.0472412109375,1783.0820525332451,1635.5865050143009,1876648320,1,East Asia & Pacific
2012,MNG,5,8,0.55,0.404,0.347,0.437,0.374,9471480158,2824698,3.91,7192930000000,0,0,1172.0472412109375,1783.0820525332451,1635.5865050143009,1847123456,1,East Asia & Pacific
2013,MNG,4.5,8,0.594,0.429,0.362,0.452,0.443,10574804943,2881783,4.23,7751550000000,0,0,1172.0472412109375,1783.0820525332451,1635.5865050143009,1723118848,1,East Asia & Pacific
2014,MNG,5,8,0.605,0.429,0.347,0.434,0.409,11408652157,2940111,4.8,8327160000000,0,0,1172.0472412109375,1783.0820525332451,1635.5865050143009,1481098752,1,East Asia & Pacific
2000,MOZ,4.5,6,0.436,0.314,0.27,0.309,0.292,5131979555,17711925,2.85,2232180000000,832.0000315,0,11347.111328125,10668.881508901977,10602.692703675963,35867568,0,Sub-Saharan Africa
2001,MOZ,4.5,6,0.436,0.314,0.28,0.317,0.292,5752275478,18221884,2.88,2418250000000,78.99999904,0,11347.111328125,10668.881508901977,10602.692703675963,15098118,0,Sub-Saharan Africa
2002,MOZ,4.5,6,0.436,0.313,0.28,0.321,0.292,6286722378,18764147,2.95,2639120000000,2.999999999,0,11347.111328125,10668.881508901977,10602.692703675963,11046077,0,Sub-Saharan Africa
2003,MOZ,4.5,6,0.438,0.315,0.282,0.327,0.293,6719156643,19331097,3,2904040000000,48.99999986,0,11347.111328125,10668.881508901977,10602.692703675963,24888412,0,Sub-Saharan Africa
2004,MOZ,4.5,6,0.442,0.315,0.282,0.329,0.295,7251072486,19910549,3.01,3197740000000,0,0,11347.111328125,10668.881508901977,10602.692703675963,22016516,0,Sub-Saharan Africa
2005,MOZ,4.5,6,0.487,0.337,0.293,0.354,0.314,7732972113,20493927,3.01,3562110000000,7.999999982,0,11347.111328125,10668.881508901977,10602.692703675963,34218676,0,Sub-Saharan Africa
2006,MOZ,4.5,6,0.488,0.34,0.294,0.354,0.316,8482635358,21080108,2.97,4015240000000,12,0,11347.111328125,10668.881508901977,10602.692703675963,41588712,0,Sub-Saharan Africa
2007,MOZ,5,6,0.488,0.339,0.294,0.35,0.316,9138321546,21673319,2.94,4586650000000,53.99999937,0,11347.111328125,10668.881508901977,10602.692703675963,53536576,0,Sub-Saharan Africa
2008,MOZ,5,6,0.485,0.336,0.292,0.349,0.312,9807041557,22276596,2.95,5029290000000,31.50000013,0,11347.111328125,10668.881508901977,10602.692703675963,84909832,0,Sub-Saharan Africa
2009,MOZ,5,6,0.49,0.368,0.31,0.38,0.305,10426669785,22894718,3.17,5501980000000,12.50000002,0,11347.111328125,10668.881508901977,10602.692703675963,111129656,0,Sub-Saharan Africa
2010,MOZ,4.5,6,0.491,0.328,0.316,0.355,0.316,11104648673,23531567,3.25,6087160000000,5.000000004,0,11347.111328125,10668.881508901977,10602.692703675963,84160456,0,Sub-Saharan Africa
2011,MOZ,3.5,6,0.378,0.27,0.241,0.294,0.269,11928323142,24187500,3.3,6668540000000,23.00000006,0,11347.111328125,10668.881508901977,10602.692703675963,479533120,0,Sub-Saharan Africa
2012,MOZ,3.5,3,0.38,0.218,0.222,0.313,0.255,12794133231,24862673,3.35,7192930000000,32.99999987,0,11347.111328125,10668.881508901977,10602.692703675963,655805056,0,Sub-Saharan Africa
2013,MOZ,4,5,0.465,0.332,0.288,0.354,0.294,13685066406,25560752,3.41,7751550000000,127.500001,1,11347.111328125,10668.881508901977,10602.692703675963,842356800,0,Sub-Saharan Africa
2014,MOZ,4.5,6,0.542,0.405,0.33,0.429,0.351,14697557795,26286192,3.41,8327160000000,13.5,0,11347.111328125,10668.881508901977,10602.692703675963,1316883968,0,Sub-Saharan Africa
2000,MUS,6.5,10,0.808,0.709,0.519,0.769,0.658,6721484096,1186873,9.24,2232180000000,0,0,9054.787109375,8840.745537609862,8786.624215691925,108746856,0,Sub-Saharan Africa
2001,MUS,6.5,10,0.807,0.709,0.52,0.768,0.659,6946488513,1196287,9.14,2418250000000,0,0,9054.787109375,8840.745537609862,8786.624215691925,99046688,0,Sub-Saharan Africa
2002,MUS,6.5,10,0.812,0.714,0.523,0.773,0.662,7058668651,1204621,8.21,2639120000000,3.000000006,0,9054.787109375,8840.745537609862,8786.624215691925,121882952,0,Sub-Saharan Africa
2003,MUS,6.5,10,0.812,0.714,0.523,0.773,0.662,7476926214,1213370,8.3,2904040000000,0,0,9054.787109375,8840.745537609862,8786.624215691925,122270232,0,Sub-Saharan Africa
2004,MUS,7,10,0.812,0.714,0.523,0.773,0.662,7800678605,1221003,8.34,3197740000000,0,0,9054.787109375,8840.745537609862,8786.624215691925,140384640,0,Sub-Saharan Africa
2005,MUS,7,10,0.815,0.716,0.525,0.776,0.665,7939339024,1228254,9.52,3562110000000,0,0,9054.787109375,8840.745537609862,8786.624215691925,170914064,0,Sub-Saharan Africa
2006,MUS,6.5,10,0.819,0.719,0.527,0.779,0.669,8325631105,1233996,9.04,4015240000000,0,0,9054.787109375,8840.745537609862,8786.624215691925,171190256,0,Sub-Saharan Africa
2007,MUS,6.5,10,0.819,0.719,0.527,0.779,0.669,8802441342,1239630,8.48,4586650000000,2.000000002,0,9054.787109375,8840.745537609862,8786.624215691925,219813728,0,Sub-Saharan Africa
2008,MUS,6.5,10,0.819,0.714,0.527,0.779,0.669,9276625562,1244121,7.17,5029290000000,0,0,9054.787109375,8840.745537609862,8786.624215691925,292281088,0,Sub-Saharan Africa
2009,MUS,6.5,10,0.798,0.681,0.535,0.692,0.665,9584152842,1247429,7.26,5501980000000,0,0,9054.787109375,8840.745537609862,8786.624215691925,299429536,0,Sub-Saharan Africa
2010,MUS,6.5,10,0.819,0.726,0.563,0.777,0.667,10003670690,1250400,7.65,6087160000000,0,0,9054.787109375,8840.745537609862,8786.624215691925,379547840,0,Sub-Saharan Africa
2011,MUS,6.5,10,0.819,0.716,0.538,0.755,0.669,10411574172,1252404,7.45,6668540000000,0,0,9054.787109375,8840.745537609862,8786.624215691925,452306240,0,Sub-Saharan Africa
2012,MUS,6,10,0.762,0.649,0.498,0.644,0.622,10775575125,1255882,7.47,7192930000000,0,0,9054.787109375,8840.745537609862,8786.624215691925,542958080,0,Sub-Saharan Africa
2013,MUS,6.5,10,0.798,0.694,0.525,0.73,0.671,11137678209,1258653,7.32,7751550000000,20.99999941,0,9054.787109375,8840.745537609862,8786.624215691925,487095456,0,Sub-Saharan Africa
2014,MUS,6.5,10,0.819,0.719,0.566,0.779,0.682,11554737009,1260934,7.47,8327160000000,0,0,9054.787109375,8840.745537609862,8786.624215691925,530628512,0,Sub-Saharan Africa
2000,NAM,5.5,6,0.65,0.533,0.412,0.52,0.434,7295092342,1794583,20.3,2232180000000,0,0,12372.9521484375,12272.31611920166,12237.66388329798,9879009,0,Sub-Saharan Africa
2001,NAM,5.5,6,0.646,0.53,0.409,0.514,0.429,7381024791,1823667,20.72,2418250000000,0,0,12372.9521484375,12272.31611920166,12237.66388329798,14737801,0,Sub-Saharan Africa
2002,NAM,5.5,6,0.646,0.527,0.409,0.514,0.429,7734477065,1851519,21.25,2639120000000,0,0,12372.9521484375,12272.31611920166,12237.66388329798,13465227,0,Sub-Saharan Africa
2003,NAM,5.5,6,0.65,0.534,0.412,0.519,0.432,8062402982,1879113,21.71,2904040000000,2.000000005,0,12372.9521484375,12272.31611920166,12237.66388329798,23043646,0,Sub-Saharan Africa
2004,NAM,5.5,6,0.653,0.532,0.414,0.521,0.434,9051623394,1907737,22.09,3197740000000,0,0,12372.9521484375,12272.31611920166,12237.66388329798,28637310,0,Sub-Saharan Africa
2005,NAM,6,6,0.67,0.551,0.425,0.534,0.449,9280562719,1938316,21.98,3562110000000,0,0,12372.9521484375,12272.31611920166,12237.66388329798,33195128,0,Sub-Saharan Africa
2006,NAM,6,6,0.67,0.55,0.425,0.534,0.449,9936993189,1971318,21.76,4015240000000,4.999999986,0,12372.9521484375,12272.31611920166,12237.66388329798,72371272,0,Sub-Saharan Africa
2007,NAM,6,6,0.67,0.55,0.425,0.534,0.449,10471011593,2006516,21.56,4586650000000,7.000000017,0,12372.9521484375,12272.31611920166,12237.66388329798,122740008,0,Sub-Saharan Africa
2008,NAM,6,6,0.677,0.556,0.428,0.541,0.454,10748473716,2043382,21.48,5029290000000,42.00000023,0,12372.9521484375,12272.31611920166,12237.66388329798,129520480,0,Sub-Saharan Africa
2009,NAM,6,8,0.686,0.547,0.423,0.574,0.487,10780286075,2081039,21.99,5501980000000,91.99999902,0,12372.9521484375,12272.31611920166,12237.66388329798,169603360,0,Sub-Saharan Africa
2010,NAM,6,9,0.701,0.58,0.449,0.611,0.518,11431334447,2118877,22.1,6087160000000,8.000000045,0,12372.9521484375,12272.31611920166,12237.66388329798,146537504,0,Sub-Saharan Africa
2011,NAM,5.5,6,0.643,0.51,0.378,0.521,0.431,12013342334,2156698,19.33,6668540000000,107.9999999,0,12372.9521484375,12272.31611920166,12237.66388329798,174974176,0,Sub-Saharan Africa
2012,NAM,5.5,7,0.67,0.527,0.387,0.511,0.462,12621419531,2194777,16.77,7192930000000,0,0,12372.9521484375,12272.31611920166,12237.66388329798,277972192,0,Sub-Saharan Africa
2013,NAM,5.5,7,0.667,0.535,0.417,0.534,0.472,13330076850,2233506,19.03,7751550000000,0,0,12372.9521484375,12272.31611920166,12237.66388329798,307813856,0,Sub-Saharan Africa
2014,NAM,5,8,0.677,0.533,0.399,0.563,0.479,14142214333,2273426,18.52,8327160000000,0,0,12372.9521484375,12272.31611920166,12237.66388329798,330983136,0,Sub-Saharan Africa
2000,NIC,5,8,0.604,0.395,0.372,0.466,0.329,6560849205,5069310,7.58,2232180000000,8.999999999,0,13785.5673828125,14135.460799157714,14099.552799202838,43139752,0,Latin America & Caribbean
2001,NIC,5,8,0.607,0.388,0.374,0.464,0.33,6755105685,5145367,7.55,2418250000000,15.99999999,0,13785.5673828125,14135.460799157714,14099.552799202838,23962818,0,Latin America & Caribbean
2002,NIC,5,8,0.63,0.399,0.389,0.504,0.344,6806035054,5219324,7.6,2639120000000,2.999999971,0,13785.5673828125,14135.460799157714,14099.552799202838,32802016,0,Latin America & Caribbean
2003,NIC,5,8,0.625,0.398,0.382,0.501,0.343,6977597019,5292115,7.6,2904040000000,0.999999983,0,13785.5673828125,14135.460799157714,14099.552799202838,50970596,0,Latin America & Caribbean
2004,NIC,5,8,0.625,0.4,0.382,0.501,0.339,7348258871,5364930,6.41,3197740000000,0.999999953,0,13785.5673828125,14135.460799157714,14099.552799202838,62290192,0,Latin America & Caribbean
2005,NIC,5,8,0.625,0.4,0.382,0.487,0.339,7662940585,5438692,5.37,3562110000000,7.000000021,0,13785.5673828125,14135.460799157714,14099.552799202838,82514000,0,Latin America & Caribbean
2006,NIC,5,8,0.605,0.356,0.364,0.458,0.334,7981130644,5513757,5.31,4015240000000,0,0,13785.5673828125,14135.460799157714,14099.552799202838,115491528,0,Latin America & Caribbean
2007,NIC,5,9,0.492,0.243,0.296,0.35,0.289,8386238270,5590066,4.89,4586650000000,135.9999815,0,13785.5673828125,14135.460799157714,14099.552799202838,140340976,0,Latin America & Caribbean
2008,NIC,4.5,9,0.468,0.221,0.285,0.345,0.276,8674353607,5667436,6.2,5029290000000,30.0000001,0,13785.5673828125,14135.460799157714,14099.552799202838,182622976,0,Latin America & Caribbean
2009,NIC,5,8,0.612,0.405,0.365,0.484,0.384,8388790341,5745538,8.16,5501980000000,0.999999993,0,13785.5673828125,14135.460799157714,14099.552799202838,167385520,0,Latin America & Caribbean
2010,NIC,5.5,6,0.599,0.387,0.362,0.431,0.365,8758639096,5824058,7.83,6087160000000,77.00000047,0,13785.5673828125,14135.460799157714,14099.552799202838,251569472,0,Latin America & Caribbean
2011,NIC,5,8,0.577,0.404,0.367,0.411,0.367,9311968296,5903035,6.45,6668540000000,18.00000003,0,13785.5673828125,14135.460799157714,14099.552799202838,290448992,0,Latin America & Caribbean
2012,NIC,5,7,0.554,0.374,0.369,0.411,0.335,9916943344,5982530,5.21,7192930000000,8.999999992,0,13785.5673828125,14135.460799157714,14099.552799202838,366142336,0,Latin America & Caribbean
2013,NIC,5.5,8,0.594,0.408,0.377,0.454,0.349,10405530542,6062462,5.28,7751550000000,31.99999982,0,13785.5673828125,14135.460799157714,14099.552799202838,403435488,0,Latin America & Caribbean
2014,NIC,5,9,0.645,0.433,0.407,0.48,0.365,10903452946,6142734,4.52,8327160000000,14.99999989,0,13785.5673828125,14135.460799157714,14099.552799202838,379827008,0,Latin America & Caribbean
2000,NPL,4.5,6,0.361,0.298,0.222,0.302,0.261,10899840167,23941099,1.8,2232180000000,144.000001,1,3160.92529296875,3222.0012503686903,3097.1507711513254,242782176,1,South Asia
2001,NPL,4.5,6,0.355,0.291,0.224,0.263,0.258,11423020739,24347113,1.75,2418250000000,144.0000006,1,3160.92529296875,3222.0012503686903,3097.1507711513254,59045676,1,South Asia
2002,NPL,4,-6,0.27,0.223,0.188,0.216,0.216,11436744719,24725625,1.73,2639120000000,471.9999932,1,3160.92529296875,3222.0012503686903,3097.1507711513254,37431208,1,South Asia
2003,NPL,3.5,-6,0.217,0.148,0.13,0.167,0.195,11887928617,25080880,1.69,2904040000000,238.9999977,1,3160.92529296875,3222.0012503686903,3097.1507711513254,37483288,1,South Asia
2004,NPL,3,-6,0.218,0.149,0.131,0.161,0.195,12444593149,25419337,1.63,3197740000000,185.0000005,1,3160.92529296875,3222.0012503686903,3097.1507711513254,40198848,1,South Asia
2005,NPL,2.5,-6,0.215,0.15,0.129,0.165,0.206,12877563075,25744500,1.56,3562110000000,69.00000019,1,3160.92529296875,3222.0012503686903,3097.1507711513254,63029768,1,South Asia
2006,NPL,3.5,6,0.223,0.219,0.134,0.198,0.214,13310843466,26066687,1.47,4015240000000,156.999999,1,3160.92529296875,3222.0012503686903,3097.1507711513254,49866020,1,South Asia
2007,NPL,3.5,6,0.272,0.289,0.153,0.276,0.245,13764950914,26382586,1.38,4586650000000,214.0000012,0,3160.92529296875,3222.0012503686903,3097.1507711513254,122209248,1,South Asia
2008,NPL,4,6,0.47,0.411,0.234,0.406,0.355,14605251496,26666581,1.33,5029290000000,114.9999992,0,3160.92529296875,3222.0012503686903,3097.1507711513254,200957360,1,South Asia
2009,NPL,4,3,0.35,0.248,0.222,0.285,0.241,15267319043,26883531,1.64,5501980000000,126.9999999,0,3160.92529296875,3222.0012503686903,3097.1507711513254,288700512,1,South Asia
2010,NPL,4,5,0.445,0.315,0.243,0.34,0.271,16002656434,27013207,1.88,6087160000000,149.9999992,0,3160.92529296875,3222.0012503686903,3097.1507711513254,521303328,1,South Asia
2011,NPL,4,5,0.408,0.285,0.224,0.305,0.229,16550239852,27041220,2.11,6668540000000,140.0000003,0,3160.92529296875,3222.0012503686903,3097.1507711513254,810759168,1,South Asia
2012,NPL,3.5,-1,0.334,0.228,0.219,0.263,0.219,17284821172,26989160,2.36,7192930000000,83.00000005,0,3160.92529296875,3222.0012503686903,3097.1507711513254,1370654336,1,South Asia
2013,NPL,4.5,6,0.461,0.316,0.257,0.348,0.258,17894137594,26916795,2.63,7751550000000,194.9999988,0,3160.92529296875,3222.0012503686903,3097.1507711513254,1554913664,1,South Asia
2014,NPL,4,5,0.443,0.36,0.26,0.334,0.264,18969840605,26905982,2.85,8327160000000,196.0000003,0,3160.92529296875,3222.0012503686903,3097.1507711513254,1526095104,1,South Asia
2000,PAK,2.5,-6,0.212,0.102,0.165,0.22,0.097,116754000000,142343583,0.63,2232180000000,0,0,3882.87744140625,4420.175707151794,4314.124945420856,1173078656,0,South Asia
2001,PAK,2.5,-6,0.21,0.101,0.165,0.22,0.096,120904000000,145978408,0.63,2418250000000,241.0000001,0,3882.87744140625,4420.175707151794,4314.124945420856,336879200,0,South Asia
2002,PAK,2.5,-5,0.296,0.178,0.216,0.257,0.12,123936000000,149549695,0.64,2639120000000,76,0,3882.87744140625,4420.175707151794,4314.124945420856,466819904,0,South Asia
2003,PAK,2.5,-5,0.388,0.213,0.261,0.302,0.149,131096000000,153093371,0.64,2904040000000,328.9999998,0,3882.87744140625,4420.175707151794,4314.124945420856,586509312,0,South Asia
2004,PAK,2.5,-5,0.388,0.218,0.261,0.296,0.149,140990000000,156664698,0.63,3197740000000,29,1,3882.87744140625,4420.175707151794,4314.124945420856,818822144,1,South Asia
2005,PAK,2.5,-5,0.389,0.217,0.262,0.298,0.15,150181000000,160304007,0.61,3562110000000,74055.99885,0,3882.87744140625,4420.175707151794,4314.124945420856,1291802368,1,South Asia
2006,PAK,2.5,-5,0.388,0.215,0.262,0.297,0.147,159040000000,164022626,0.58,4015240000000,408.9999991,1,3882.87744140625,4420.175707151794,4314.124945420856,2535263744,1,South Asia
2007,PAK,2.5,2,0.383,0.212,0.264,0.293,0.145,166726000000,167808106,0.4,4586650000000,669.0000011,1,3882.87744140625,4420.175707151794,4314.124945420856,3180254208,1,South Asia
2008,PAK,3.5,5,0.425,0.244,0.281,0.318,0.153,169563000000,171648984,0.42,5029290000000,248.9999999,1,3882.87744140625,4420.175707151794,4314.124945420856,3585035008,1,South Asia
2009,PAK,3,-1,0.38,0.232,0.264,0.305,0.155,174364000000,175525610,0.54,5501980000000,102,1,3882.87744140625,4420.175707151794,4314.124945420856,2422711552,1,South Asia
2010,PAK,3,1,0.42,0.186,0.263,0.317,0.174,177166000000,179424643,0.65,6087160000000,2186.000015,1,3882.87744140625,4420.175707151794,4314.124945420856,4937496576,1,South Asia
2011,PAK,2.5,6,0.412,0.233,0.268,0.311,0.172,182035000000,183340168,0.8,6668540000000,510.9999997,1,3882.87744140625,4420.175707151794,4314.124945420856,5793183232,1,South Asia
2012,PAK,4,5,0.403,0.271,0.251,0.321,0.243,188419000000,187280125,1.7,7192930000000,670.9999999,1,3882.87744140625,4420.175707151794,4314.124945420856,6461447168,1,South Asia
2013,PAK,2.5,3,0.433,0.285,0.277,0.335,0.251,196703000000,191260799,2.95,7751550000000,729.9999995,1,3882.87744140625,4420.175707151794,4314.124945420856,7750900224,1,South Asia
2014,PAK,4.5,7,0.513,0.389,0.285,0.434,0.319,205898000000,195305012,1.83,8327160000000,271.0000005,1,3882.87744140625,4420.175707151794,4314.124945420856,8856631296,1,South Asia
2000,PHL,5.5,8,0.589,0.448,0.405,0.515,0.323,130146000000,77991757,3.71,2232180000000,364.9999974,1,2850.31884765625,2613.129409036255,2431.2413557567834,1327449984,1,East Asia & Pacific
2001,PHL,5.5,8,0.556,0.423,0.381,0.487,0.304,134115000000,79672869,3.7,2418250000000,318.0000045,1,2850.31884765625,2613.129409036255,2431.2413557567834,677302528,1,East Asia & Pacific
2002,PHL,5.5,8,0.535,0.399,0.367,0.471,0.292,139099000000,81365260,3.63,2639120000000,77.99999963,1,2850.31884765625,2613.129409036255,2431.2413557567834,835183040,1,East Asia & Pacific
2003,PHL,5.5,8,0.531,0.398,0.363,0.468,0.29,146174000000,83051970,3.53,2904040000000,200.9999978,1,2850.31884765625,2613.129409036255,2431.2413557567834,1100918400,1,East Asia & Pacific
2004,PHL,5.5,8,0.498,0.364,0.343,0.445,0.272,155777000000,84710544,3.55,3197740000000,227.499998,1,2850.31884765625,2613.129409036255,2431.2413557567834,1452494720,1,East Asia & Pacific
2005,PHL,5,8,0.472,0.356,0.327,0.427,0.26,163476000000,86326251,3.8,3562110000000,22.99999998,1,2850.31884765625,2613.129409036255,2431.2413557567834,1634918528,1,East Asia & Pacific
2006,PHL,5,8,0.472,0.356,0.326,0.427,0.26,172167000000,87888675,4.05,4015240000000,1735.000063,1,2850.31884765625,2613.129409036255,2431.2413557567834,1995749504,1,East Asia & Pacific
2007,PHL,4.5,8,0.471,0.359,0.326,0.426,0.26,183391000000,89405482,3.43,4586650000000,81.99999996,1,2850.31884765625,2613.129409036255,2431.2413557567834,1999702784,1,East Asia & Pacific
2008,PHL,4.5,8,0.47,0.358,0.327,0.426,0.26,191359000000,90901967,3.72,5029290000000,323.9999974,1,2850.31884765625,2613.129409036255,2431.2413557567834,2481077760,1,East Asia & Pacific
2009,PHL,4.5,9,0.464,0.356,0.314,0.427,0.274,194130000000,92414161,3.86,5501980000000,1144.999974,1,2850.31884765625,2613.129409036255,2431.2413557567834,2606441472,1,East Asia & Pacific
2010,PHL,3.5,5,0.344,0.24,0.205,0.285,0.233,208369000000,93966784,3.61,6087160000000,41.00000008,1,2850.31884765625,2613.129409036255,2431.2413557567834,3281016320,1,East Asia & Pacific
2011,PHL,3.5,4,0.351,0.2,0.223,0.298,0.243,216408000000,95570049,3.59,6668540000000,666.0000039,1,2850.31884765625,2613.129409036255,2431.2413557567834,4160005632,1,East Asia & Pacific
2012,PHL,5,8,0.507,0.394,0.326,0.446,0.294,231334000000,97212639,3.5,7192930000000,449.0000113,1,2850.31884765625,2613.129409036255,2431.2413557567834,4639898624,1,East Asia & Pacific
2013,PHL,3.5,4,0.356,0.251,0.242,0.313,0.241,246950000000,98871558,3.5,7751550000000,6437.000377,1,2850.31884765625,2613.129409036255,2431.2413557567834,5652377088,1,East Asia & Pacific
2014,PHL,4.5,6,0.436,0.324,0.282,0.401,0.252,262626000000,100513137,3.6,8327160000000,64.9999997,1,2850.31884765625,2613.129409036255,2431.2413557567834,6479434240,1,East Asia & Pacific
2000,PNG,5.5,4,0.497,0.384,0.295,0.311,0.259,9608075735,5847590,2.92,2232180000000,2,0,6343.97412109375,5799.643192217254,5749.54247557981,4018684,1,East Asia & Pacific
