year,recipient,recipient_iso3,aid,debt,aid_socgov,aid_econ,aid_human,frequencies_by_year,counts_by_year,relevant,govt_visits,mil_visits,total_visits,polity2,v2x_api,gdp,pop,china_gdp,china_pop,disaster,civilwar,dist,distw,distwces,imports,exports,atopally,distance,agree,fdi,region
2000,Afghanistan,AFG,1113800.69227168,0,0,0,1113800.69227168,0.24,12,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,Afghanistan,AFG,2446247.142411189,0,0,0,263685.222856719,4.83,231,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,Afghanistan,AFG,15609533.866151411,0,0,0,10032676.951726353,4.68,214,1,4,0,4,-3,0.447,26890054382.385,22600774,5152785033972.09,1280400000,1285.999798,1,4180.4375,4434.381992228317,4369.992802879414,79936,19910993,0,0.1271514,0.9117647,-299987139.7,South Asia
2003,Afghanistan,AFG,14994850.208120815,0,14994850.208120815,0,0,2.75,146,1,3,0,3,-3,0.463,29265058689.4061,23680871,5670023166308.18,1288400000,137.0000003,1,4180.4375,4434.381992228317,4369.992802879414,612288,26446713,0,0.06329,0.9485294,-38368774.63,South Asia
2004,Afghanistan,AFG,63438647.70928352,0,28665932.38386622,0,0,2.34,118,1,7,0,7,-4,0.493,29678901146.3632,24726689,6243467841396.09,1296075000,18.00000003,1,4180.4375,4434.381992228317,4369.992802879414,947329,56973084,0,0.0690319,0.9469697,-17219679.31,South Asia
2005,Afghanistan,AFG,48972181.277083695,0,48972181.277083695,0,0,1.92,96,1,6,1,7,2,0.605,33011757107.8906,25654274,6954885516694.85,1303720000,561.0000677,1,4180.4375,4434.381992228317,4369.992802879414,1511677,51208556,0,0.0766138,0.9493671,-62069526.09,South Asia
2006,Afghanistan,AFG,23126810.73032671,0,5431374.486375811,0,17695436.2439509,1.92,99,1,6,2,8,4,0.666,34780330056.488,26433058,7839613419837.17,1311020000,382.0000069,1,4180.4375,4434.381992228317,4369.992802879414,185744,100486966,0,0.5018814,0.9166667,-78966000,South Asia
2007,Afghanistan,AFG,21895556.60479808,0,3122870.20252187,0,18772686.402276214,2.16,104,1,6,2,8,3,0.667,39589169629.938904,27100542,8955257903305.3,1317885000,296.0000261,1,4180.4375,4434.381992228317,4369.992802879414,2376291,169532599,0,0.0494248,0.9438202,-20110637.04,South Asia
2008,Afghanistan,AFG,29639952.504446898,0,25831178.048100017,0,0,1.91,85,1,7,0,7,3,0.674,41143038133.026,27722281,9819501089971.55,1324655000,0,1,4180.4375,4434.381992228317,4369.992802879414,2693017,151626761,0,0.0259363,0.9277778,-47951776.13,South Asia
2009,Afghanistan,AFG,8707406.341849918,0,2982248.094881248,0,5725158.24696867,2.89,281,1,2,0,2,3,0.668,49943751386.6576,28394806,10742409055886.5,1331260000,100.9999999,1,4180.4375,4434.381992228317,4369.992802879414,1375868,213366201,0,0.095249,0.9473684,-55860135.47,South Asia
2010,Afghanistan,AFG,7221741.081271155,18129497.3315253,2812891.82753805,4106690.96487435,302158.288858755,2.18,250,1,8,2,10,4,0.66,57116893447.1231,29185511,11884957832311.2,1337705000,349.9999974,1,4180.4375,4434.381992228317,4369.992802879414,3680419,175264609,0,0.0097494,0.9583333,-192022479.5,South Asia
2011,Afghanistan,AFG,17174933.477967132,0,17174933.477967132,0,0,1.34,145,1,4,0,4,4,0.656,57360414055.1093,30117411,13020070209403.8,1345035000,61.99999998,1,4180.4375,4434.381992228317,4369.992802879414,4403087,230009966,0,0.060318,0.9076087,-51036283.61,South Asia
2012,Afghanistan,AFG,694219.011023648,0,694219.011023648,0,0,1.36,127,1,9,2,11,2,0.657,64675178730.6937,31161378,14043934216102.1,1354190000,333.0000057,1,4180.4375,4434.381992228317,4369.992802879414,5186565,464033546,0,0.072863,0.9117647,-65684511.34,South Asia
2013,Afghanistan,AFG,0,0,0,0,0,1.72,132,1,5,0,5,4,0.659,68297470348.5577,32269592,15134607226924.2,1363240000,154.9999966,1,4180.4375,4434.381992228317,4369.992802879414,9595295,328258809,0,0.2764499,0.9416667,-47774027.01,South Asia
2014,Afghanistan,AFG,2568094.934363696,0,2568094.934363696,0,0,1.54,103,1,7,0,7,-1,0.655,70158264544.684,33370804,16258467389928.8,1371860000,574.9999869,1,4180.4375,4434.381992228317,4369.992802879414,17371806,393559251,0,0.0254714,0.9342105,-42994416.21,South Asia
2015,Afghanistan,AFG,28730809.9704952,0,13134086.841626432,8356793.80299497,7239929.325873796,1.43,75,1,6,1,7,-1,0.653,71176481723.2911,34413603,17403279549482.5,1379860000,191.9999994,0,4180.4375,4434.381992228317,4369.992802879414,11770644,361819889,0,0.5770068,0.8623188,-166983554.9,South Asia
2016,Afghanistan,AFG,45765568.91262376,0,37590392.26149975,0,8175176.651124011,1.16,61,1,6,5,11,-1,0.63,72785293847.6716,35383028,18595188781703.6,1387790000,77.99999873,0,4180.4375,4434.381992228317,4369.992802879414,4534101,430653261,0,0.2491919,0.8640777,-79585268.75,South Asia
2017,Afghanistan,AFG,88572699.26310219,0,77158043.70726551,0,11414655.55583668,1.07,57,1,20,0,20,-1,0.635,74711922906.3738,36296111,19887033884256.7,1396215000,155.0000002,0,4180.4375,4434.381992228317,4369.992802879414,3427619,541205985,0,0.5518366,0.7743363,-40273161,South Asia
2000,Angola,AGO,0,0,0,0,0,1.61,79,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,Angola,AGO,14404908.66905948,0,13095371.5173268,0,1309537.15173268,1.46,70,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,Angola,AGO,3913893.450522212,282030465.7553069,1952518.6090752,0,1961374.841447012,1.31,60,1,0,0,0,-2,0.327,91427834244.5352,17519418,5152785033972.09,1280400000,7.999999995,1,11769.5146484375,11829.967001156616,11803.086859800444,1087049343,61310901,0,0.1261423,0.8277778,-1643393000,Sub-Saharan Africa
2003,Angola,AGO,23258875.4705851,0,23258875.4705851,0,0,1.55,82,1,0,0,0,-2,0.348,94161526488.4468,18121477,5670023166308.18,1288400000,14.99999998,0,11769.5146484375,11829.967001156616,11803.086859800444,2205934880,145791215,0,0.6001755,0.9050633,-3481071780,Sub-Saharan Africa
2004,Angola,AGO,0,143618467.2737161,0,0,0,1.39,70,1,0,0,0,-2,0.349,104472213644.531,18758138,6243467841396.09,1296075000,28.00000002,1,11769.5146484375,11829.967001156616,11803.086859800444,4717339146,193517905,0,0.3051307,0.9126984,-1413991820,Sub-Saharan Africa
2005,Angola,AGO,1884110.49736411,2408445649.260556,0,1884110.49736411,0,0.8,40,1,0,0,0,-2,0.354,120174387345.433,19433604,6954885516694.85,1303720000,0,0,11769.5146484375,11829.967001156616,11803.086859800444,6581828714,372793946,0,0.23275,0.9130435,1523198987,Sub-Saharan Africa
2006,Angola,AGO,1016265.51410763,2129448282.4609532,663578.859148162,0,352686.654959468,0.91,47,1,0,0,0,-2,0.354,134054529081.281,20149905,7839613419837.17,1311020000,0,0,11769.5146484375,11829.967001156616,11803.086859800444,10933295107,894185633,0,0.4437889,0.9010417,228299945.9,Sub-Saharan Africa
2007,Angola,AGO,10674772.273670964,3334100247.59988,410568.164371963,0,0,1.06,51,1,0,0,0,-2,0.354,152835568617.106,20905360,8955257903305.3,1317885000,104.9999988,1,11769.5146484375,11829.967001156616,11803.086859800444,12888664603,1234518651,0,0.327506,0.9032258,1805123607,Sub-Saharan Africa
2008,Angola,AGO,0,172525612.4694482,0,0,0,0.4,18,1,0,0,0,-2,0.381,169907301622.794,21695636,9819501089971.55,1324655000,7,0,11769.5146484375,11829.967001156616,11803.086859800444,22382523829,2942469756,0,0.0838169,0.9022989,890672963.9,Sub-Saharan Africa
2009,Angola,AGO,3316775.01107718,2092462597.71995,0,0,0,0.82,80,1,0,0,0,-2,0.439,171368504420.408,22514275,10742409055886.5,1331260000,62.00000006,1,11769.5146484375,11829.967001156616,11803.086859800444,14675830702,2385960008,0,4.354e-4,0.9487179,-2198545055,Sub-Saharan Africa
2010,Angola,AGO,54190465.558233224,676834567.0436124,54190465.558233224,0,0,0.44,51,1,0,0,0,-2,0.57,179697013732.907,23356247,11884957832311.2,1337705000,25.00000005,0,11769.5146484375,11829.967001156616,11803.086859800444,22815049454,2003872576,0,0.155523,0.9166667,4567640566,Sub-Saharan Africa
2011,Angola,AGO,331232.4291650935,2275927878.227194,331232.4291650935,0,0,0.37,40,1,0,0,0,-2,0.571,185932500111.876,24220660,13020070209403.8,1345035000,129.9999994,0,11769.5146484375,11829.967001156616,11803.086859800444,24922180492,2784153366,0,0.0395278,0.8915663,5116413414,Sub-Saharan Africa
2012,Angola,AGO,16144628.1633406,1040911795.548301,16144628.1633406,0,0,0.24,22,1,0,0,0,-2,0.568,201811135626.822,25107925,14043934216102.1,1354190000,0,0,11769.5146484375,11829.967001156616,11803.086859800444,33561896917,4039171270,0,0.108812,0.9038462,2351103731,Sub-Saharan Africa
2013,Angola,AGO,31605509.535869,3506086147.55113,31605509.535869,0,0,0.2,15,1,0,0,0,-2,0.562,211800786835.41,26015786,15134607226924.2,1363240000,8.999999996,0,11769.5146484375,11829.967001156616,11803.086859800444,31972669347,3964058933,0,0.2158126,0.942623,8041583617,Sub-Saharan Africa
2014,Angola,AGO,54745.1913500911,0,54745.1913500911,0,0,0.64,43,1,0,0,0,-2,0.562,222009584757.969,26941773,16258467389928.8,1371860000,0,0,11769.5146484375,11829.967001156616,11803.086859800444,31106015046,5974996819,0,0.1136612,0.9276316,-2770722211,Sub-Saharan Africa
2015,Angola,AGO,31283.8855687837,1472667911.3570294,31283.8855687837,0,0,0.44,23,1,0,0,0,-2,0.562,224096474853.328,27884380,17403279549482.5,1379860000,73.99999985,0,11769.5146484375,11829.967001156616,11803.086859800444,16001611383,3717145883,0,0.8242046,0.9333333,-10813085379,Sub-Saharan Africa
2016,Angola,AGO,12858679.584037686,19111311823.46463,2096259.3846928831,10249923.999376,512496.199968801,0.34,18,1,0,0,0,-2,0.562,218314785810.082,28842482,18595188781703.6,1387790000,112.9999979,0,11769.5146484375,11829.967001156616,11803.086859800444,13966117080,1680398624,0,0.4609703,0.8454545,452522618.9,Sub-Saharan Africa
2017,Angola,AGO,30000,2000000000,30000,0,0,0.37,20,1,0,0,0,-2,0.576,217987313632.157,29816769,19887033884256.7,1396215000,11,0,11769.5146484375,11829.967001156616,11803.086859800444,20698709467,2257453225,0,0.2228755,0.8076923,8749300466,Sub-Saharan Africa
2000,Albania,ALB,2673121.66145203,0,0,2673121.66145203,0,0.33,16,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,Albania,ALB,0,0,0,0,0,0.13,6,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,Albania,ALB,0,0,0,0,0,0.04,2,1,0,0,0,7,0.742,20606188274.0957,3051010,5152785033972.09,1280400000,6.999999995,0,7686.0791015625,8026.048389128113,8004.22609619096,85053,18685900,0,1.699082,0.6086957,-135000000,Europe & Central Asia
2003,Albania,ALB,1374388.09598912,0,0,1374388.09598912,0,0.13,7,1,0,0,0,7,0.746,21745429719.1089,3039616,5670023166308.18,1288400000,0,0,7686.0791015625,8026.048389128113,8004.22609619096,57918,32194331,0,2.216468,0.6569767,-178036400.7,Europe & Central Asia
2004,Albania,ALB,5955134.26522724,0,3582781.24035556,2372353.02487168,0,0.12,6,1,0,0,0,7,0.74,22944617953.9331,3026939,6243467841396.09,1296075000,1.000000014,0,7686.0791015625,8026.048389128113,8004.22609619096,5957247,63247738,0,2.052833,0.6103896,-327681210.2,Europe & Central Asia
2005,Albania,ALB,2324775.130341209,0,2324775.130341209,0,0,0.14,7,1,0,0,0,9,0.754,24212634883.9104,3011487,6954885516694.85,1303720000,3.000000001,0,7686.0791015625,8026.048389128113,8004.22609619096,7042678,83209654,0,2.293837,0.6024096,-258417488.7,Europe & Central Asia
2006,Albania,ALB,0,0,0,0,0,0.14,7,1,0,0,0,9,0.774,25641824164.7197,2992547,7839613419837.17,1311020000,0,0,7686.0791015625,8026.048389128113,8004.22609619096,12841603,66055212,0,1.959453,0.6805556,-314638316.8,Europe & Central Asia
2007,Albania,ALB,0,0,0,0,0,0.15,7,1,0,0,0,9,0.778,27176041049.7866,2970017,8955257903305.3,1317885000,0,0,7686.0791015625,8026.048389128113,8004.22609619096,66341169,89979474,0,1.474717,0.6858974,-647365283.8,Europe & Central Asia
2008,Albania,ALB,0,0,0,0,0,0.11,5,1,0,0,0,9,0.775,29214255387.6091,2947314,9819501089971.55,1324655000,0,0,7686.0791015625,8026.048389128113,8004.22609619096,88259172,196105777,0,1.63769,0.6666667,-881244175.1,Europe & Central Asia
2009,Albania,ALB,0,0,0,0,0,0.12,12,1,0,0,0,9,0.773,30194186044.7209,2927519,10742409055886.5,1331260000,0,0,7686.0791015625,8026.048389128113,8004.22609619096,64319826,207861575,0,1.376666,0.7108434,-950761387.6,Europe & Central Asia
2010,Albania,ALB,1232805.8185437203,0,1208633.15543502,0,24172.6631087004,0.25,29,1,0,0,0,9,0.774,31313465847.0655,2913021,11884957832311.2,1337705000,1.999999976,0,7686.0791015625,8026.048389128113,8004.22609619096,147572616,199277724,0,1.783464,0.7068966,-1043511678,Europe & Central Asia
2011,Albania,ALB,1652099.38098343,0,0,1652099.38098343,0,0.17,18,1,0,0,0,9,0.774,32110520730.793,2905195,13020070209403.8,1345035000,0,0,7686.0791015625,8026.048389128113,8004.22609619096,155367791,281482764,0,1.764558,0.655914,-846616681.6,Europe & Central Asia
2012,Albania,ALB,80723.1408167032,0,80723.1408167032,0,0,0.16,15,1,0,0,0,9,0.773,32565604773.863,2900401,14043934216102.1,1354190000,0,0,7686.0791015625,8026.048389128113,8004.22609619096,142720886,343904583,0,1.838312,0.6918605,-834803023.1,Europe & Central Asia
2013,Albania,ALB,0,0,0,0,0,0.68,52,1,0,0,0,9,0.746,32891917845.9358,2895092,15134607226924.2,1363240000,0,0,7686.0791015625,8026.048389128113,8004.22609619096,234840915,324596499,0,1.518893,0.6428571,-1225674342,Europe & Central Asia
2014,Albania,ALB,0,0,0,0,0,0.99,66,1,0,0,0,9,0.75,33475568104.7524,2889104,16258467389928.8,1371860000,0,0,7686.0791015625,8026.048389128113,8004.22609619096,189322397,378269750,0,1.790204,0.6578947,-1074294190,Europe & Central Asia
2015,Albania,ALB,1564194.27843918,0,0,1564194.27843918,0,0.84,44,1,0,0,0,9,0.749,34218299363.5332,2880703,17403279549482.5,1379860000,1,0,7686.0791015625,8026.048389128113,8004.22609619096,127861359,430190806,0,1.237973,0.6478873,-910256726,Europe & Central Asia
2016,Albania,ALB,1691729.064302727,0,1691729.064302727,0,0,0.93,49,1,0,0,0,9,0.749,35352629377.7734,2876101,18595188781703.6,1387790000,1.999999999,0,7686.0791015625,8026.048389128113,8004.22609619096,128596467,506540419,0,1.493758,0.626087,-1037328978,Europe & Central Asia
2017,Albania,ALB,5154237.119935763,0,3519874.644491506,1634362.4754442568,0,1.07,57,1,0,0,0,9,0.76,36696816738.7393,2873457,19887033884256.7,1396215000,1,0,7686.0791015625,8026.048389128113,8004.22609619096,196222142,454033529,0,1.429915,0.6694215,-1128922245,Europe & Central Asia
2000,Burundi,BDI,0,0,0,0,0,0.49,24,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,Burundi,BDI,102515647.71642932,0,0,1582111.33714031,0,0.86,41,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,Burundi,BDI,0,0,0,0,0,0.55,25,1,0,0,0,2,0.405,5629970267.35008,6704118,5152785033972.09,1280400000,0,1,10011.623046875,9997.050326437378,9965.252117795892,490731,2227060,0,0.2023532,0.86184210000000006,4437826.974,Sub-Saharan Africa
2003,Burundi,BDI,0,0,0,0,0,0.55,29,1,0,0,0,3,0.413,5561074747.03563,6909161,5670023166308.18,1288400000,0,1,10011.623046875,9997.050326437378,9965.252117795892,1734586,3444756,0,0.4664519,0.9197531,-4618.425671,Sub-Saharan Africa
2004,Burundi,BDI,2696272.8182660155,15637760.3556125,2696272.8182660155,0,0,0.87,44,1,0,0,0,5,0.416,5829878068.53526,7131688,6243467841396.09,1296075000,3.000000005,1,10011.623046875,9997.050326437378,9965.252117795892,318687,4814095,0,0.6838136,0.8933333,-44690.7076,Sub-Saharan Africa
2005,Burundi,BDI,19777227.054206796,0,19777227.054206796,0,0,0.52,26,1,0,0,0,6,0.533,5882346971.20465,7364857,6954885516694.85,1303720000,0,1,10011.623046875,9997.050326437378,9965.252117795892,327082,11889091,0,0.292182,0.9520548,-584701.6926,Sub-Saharan Africa
2006,Burundi,BDI,881716.63739867,0,0,0,0,0.46,24,1,0,0,0,6,0.666,6200805891.82039,7607850,7839613419837.17,1311020000,21.99999997,1,10011.623046875,9997.050326437378,9965.252117795892,1746395,10178765,0,0.8685489,0.8613861,-31593.77819,Sub-Saharan Africa
2007,Burundi,BDI,53835104.23043309,0,3560713.48392441,6158522.46557944,390358.775315234,0.37,18,1,0,0,0,6,0.662,6414854765.17377,7862226,8955257903305.3,1317885000,4.999999991,0,10011.623046875,9997.050326437378,9965.252117795892,673626,13034353,0,0.5429138,0.8472222,-465213.1473,Sub-Saharan Africa
2008,Burundi,BDI,19772848.640085373,0,15202319.292469114,3808774.45634688,0,0.13,6,1,0,0,0,6,0.66,6726726592.90757,8126104,9819501089971.55,1324655000,9.000000043,1,10011.623046875,9997.050326437378,9965.252117795892,121419,17682014,0,0.4234804,0.8563218,-3251690.822,Sub-Saharan Africa
2009,Burundi,BDI,642420.219295725,0,642420.219295725,0,0,0.34,33,1,0,0,0,6,0.648,6983199655.00684,8397661,10742409055886.5,1331260000,0,0,10011.623046875,9997.050326437378,9965.252117795892,969077,33987913,0,0.3769331,0.9125,-348404.5346,Sub-Saharan Africa
2010,Burundi,BDI,8834157.66086877,0,8834157.66086877,0,0,0.29,33,1,0,0,0,6,0.588,7341029824.51826,8675606,11884957832311.2,1337705000,8.999999956,0,10011.623046875,9997.050326437378,9965.252117795892,3458396,33360723,0,0.5254462,0.7857143,-780582.0036,Sub-Saharan Africa
2011,Burundi,BDI,34438770.77289624,0,767640.6852055361,33671130.0876907,0,0.43,46,1,0,0,0,6,0.536,7637064192.37346,8958406,13020070209403.8,1345035000,11.99999998,0,10011.623046875,9997.050326437378,9965.252117795892,13748216,42543830,0,0.4794011,0.9117647,-3354999.181,Sub-Saharan Africa
2012,Burundi,BDI,10939878.667084984,0,9567585.273201032,1372293.39388395,0,0.31,29,1,0,0,0,6,0.536,7976662009.32705,9245992,14043934216102.1,1354190000,0,0,10011.623046875,9997.050326437378,9965.252117795892,10677713,46459684,0,0.7281349,0.8809524,-604919.6515,Sub-Saharan Africa
2013,Burundi,BDI,15187605.00660978,0,632110.190717381,14555494.8158924,0,0.48,37,1,0,0,0,6,0.529,8369447994.2156,9540302,15134607226924.2,1363240000,0,0,10011.623046875,9997.050326437378,9965.252117795892,9306831,50962328,0,0.0644903,0.9326923,-116560393.8,Sub-Saharan Africa
2014,Burundi,BDI,878449.2818661514,0,782074.162144159,0,96375.1197219924,0.3,20,1,0,0,0,6,0.516,8724367008.49515,9844301,16258467389928.8,1371860000,96.00000037,1,10011.623046875,9997.050326437378,9965.252117795892,4143095,51602365,0,0.1908831,0.859375,-81719783.8,Sub-Saharan Africa
2015,Burundi,BDI,932259.789949756,0,0,932259.789949756,0,0.65,34,1,0,0,0,-1,0.404,8384116688.14199,10160034,17403279549482.5,1379860000,37.00000005,0,10011.623046875,9997.050326437378,9965.252117795892,2815539,40088753,0,0.9637996,0.8888889,-49470693.08,Sub-Saharan Africa
2016,Burundi,BDI,89711822.79795538,0,0,81999391.9950082,7712430.80294718,0.55,29,1,0,0,0,-1,0.328,8333811911.79175,10488002,18595188781703.6,1387790000,25.99999982,0,10011.623046875,9997.050326437378,9965.252117795892,2736689,45047488,0,1.019872,0.9174312,-18977.0905,Sub-Saharan Africa
2017,Burundi,BDI,32641704.61873857,1000000,41704.6187385649,32600000,0,0.54,29,1,0,0,0,-1,0.315,8375481076.5592,10827010,19887033884256.7,1396215000,6.000000005,0,10011.623046875,9997.050326437378,9965.252117795892,6929048,45252632,0,1.205132,0.8603604,-306525.819,Sub-Saharan Africa
2000,Benin,BEN,0,40362448.1815992,0,0,0,0.08,4,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,Benin,BEN,21094817.82853746,0,21094817.82853746,0,0,0.13,6,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,Benin,BEN,59297247.667589,0,2621070.61017722,7863211.83053168,0,0.2,9,1,0,0,0,6,0.824,18754921695.056,7295400,5152785033972.09,1280400000,0,0,11545.876953125,11663.807856619262,11645.768926344475,17005899,420854521,0,0.2236488,0.7820513,-12215422.28,Sub-Saharan Africa
2003,Benin,BEN,0,0,0,0,0,0.13,7,1,0,0,0,6,0.823,19400761822.8883,7520556,5670023166308.18,1288400000,0,0,11545.876953125,11663.807856619262,11645.768926344475,68398282,471061511,0,0.2806645,0.92,-44516493.5,Sub-Saharan Africa
2004,Benin,BEN,4462789.13861116,0,1497347.85752155,2965441.28108961,0,0.28,14,1,0,0,0,6,0.823,20260154372.6862,7750003,6243467841396.09,1296075000,0,0,11545.876953125,11663.807856619262,11645.768926344475,111272693,577262340,0,0.3976031,0.9113924,-65271226.22,Sub-Saharan Africa
2005,Benin,BEN,18160379.40650987,103144002.064365,18160379.40650987,0,0,0.1,5,1,0,0,0,6,0.836,20607244157.9321,7982223,6954885516694.85,1303720000,0,0,11545.876953125,11663.807856619262,11645.768926344475,139392855,952951911,0,0.1408847,0.9444444,-53450076.84,Sub-Saharan Africa
2006,Benin,BEN,6620032.410942644,0,442385.906098774,6177646.50484387,0,0.08,4,1,0,0,0,7,0.851,21419940047.2018,8216893,7839613419837.17,1311020000,0,0,11545.876953125,11663.807856619262,11645.768926344475,89382926,1452096313,0,0.3551714,0.8941176,-54978160.78,Sub-Saharan Africa
2007,Benin,BEN,32845453.149757,0,0,32845453.149757,0,0.27,13,1,0,0,0,7,0.845,22702212482.9423,8454790,8955257903305.3,1317885000,9.999999984,0,11545.876953125,11663.807856619262,11645.768926344475,113159474,1975914634,0,0.1731407,0.9127907,-261682357.9,Sub-Saharan Africa
2008,Benin,BEN,38087744.56346887,0,0,38087744.56346887,0,0.07,3,1,0,0,0,7,0.838,23813843817.0103,8696915,9819501089971.55,1324655000,15.00000007,0,11545.876953125,11663.807856619262,11645.768926344475,110161584,2314114926,0,0.2217821,0.8977273,-174531373.9,Sub-Saharan Africa
2009,Benin,BEN,24857699.99750656,0,16571799.9983377,8285899.99916886,0,0.15,15,1,0,0,0,7,0.838,24366156424.6825,8944713,10742409055886.5,1331260000,9.999999989,0,11545.876953125,11663.807856619262,11645.768926344475,93782107,1952662272,0,0.3630528,0.9320988,-103514099,Sub-Saharan Africa
2010,Benin,BEN,39281391.8379286,0,39281391.8379286,0,0,0.22,25,1,0,0,0,7,0.841,24881272742.8566,9199254,11884957832311.2,1337705000,46.00000018,0,11545.876953125,11663.807856619262,11645.768926344475,125631617,2273677526,0,0.688898,0.9109589,-194907272.3,Sub-Saharan Africa
2011,Benin,BEN,13216795.0478674,0,0,0,0,0.14,15,1,0,0,0,7,0.823,25618692190.0679,9460829,13020070209403.8,1345035000,0,0,11545.876953125,11663.807856619262,11645.768926344475,176474574,2874684516,0,0.3190132,0.9042553,-101574683.5,Sub-Saharan Africa
2012,Benin,BEN,31806728.53047108,0,2479395.5127709787,0,0,0.15,14,1,0,0,0,7,0.82,26851264681.8907,9729254,14043934216102.1,1354190000,4,0,11545.876953125,11663.807856619262,11645.768926344475,261537667,2413661597,0,0.3291112,0.8795181,-241215299.3,Sub-Saharan Africa
2013,Benin,BEN,221346280.36234397,0,15420582.98138947,205925697.3809545,0,0.12,9,1,0,0,0,7,0.819,28782255584.8599,10004594,15134607226924.2,1363240000,0,0,11545.876953125,11663.807856619262,11645.768926344475,206006603,2992476675,0,0.053855600000000003,0.9274194,-301753783.2,Sub-Saharan Africa
2014,Benin,BEN,7615838.190959809,0,1564148.32428831,5269615.70452734,782074.162144159,0.37,25,1,0,0,0,7,0.823,30612139032.0882,10286839,16258467389928.8,1371860000,0,0,11545.876953125,11663.807856619262,11645.768926344475,266630687,3485979171,0,0.3426824,0.8939394,-388459043.3,Sub-Saharan Africa
2015,Benin,BEN,77584036.2105837,207749893.942455,0,77584036.2105837,0,0.23,12,1,0,0,0,7,0.844,31156469106.8687,10575962,17403279549482.5,1379860000,0,0,11545.876953125,11663.807856619262,11645.768926344475,77849434,2989072543,0,0.2839561,0.8157895,-117056378,Sub-Saharan Africa
2016,Benin,BEN,87767462.53753884,0,19126828.391309,68640634.14622985,0,0.21,11,1,0,0,0,7,0.867,32196993426.2032,10872072,18595188781703.6,1387790000,0,0,11545.876953125,11663.807856619262,11645.768926344475,55392328,2039435616,0,0.1578151,0.8396226,-114409648.3,Sub-Saharan Africa
2017,Benin,BEN,100591903.57476856,0,100591903.57476856,0,0,0.09,5,1,0,0,0,7,0.868,34023063767.8647,11175192,19887033884256.7,1396215000,0,0,11545.876953125,11663.807856619262,11645.768926344475,91590374,1926508591,0,0.2009799,0.7393617,-168995331.7,Sub-Saharan Africa
2000,Bangladesh,BGD,145215208.81879398,166007537.980325,26908298.7877328,118306910.0310612,0,2.24,110,1,11,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,Bangladesh,BGD,0,696379118.862648,0,0,0,0.88,42,1,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,Bangladesh,BGD,41937129.7628355,0,0,41937129.7628355,0,1.38,63,1,11,0,11,6,0.718,319558822053.732,132478077,5152785033972.09,1280400000,132,0,3036.238037109375,2943.368114466095,2789.072468632839,32358560,1066270705,0,0.3631986,0.9108911,-49662443.99,South Asia
2003,Bangladesh,BGD,0,0,0,0,0,1.21,64,1,8,1,9,6,0.723,334704527804.944,134791598,5670023166308.18,1288400000,290.9999998,0,3036.238037109375,2943.368114466095,2789.072468632839,33392785,1334669027,0,0.0293355,0.9494382,-265507414.1,South Asia
2004,Bangladesh,BGD,1869660.664238564,0,0,0,1869660.664238564,1.76,89,1,10,1,11,6,0.723,352241481692.06,136986429,6243467841396.09,1296075000,1002,0,3036.238037109375,2943.368114466095,2789.072468632839,57006736,1906268226,0,0.2983759,0.9411765,-444836578,South Asia
2005,Bangladesh,BGD,0,42582439.1765635,0,0,0,1.28,64,1,13,2,15,6,0.723,375263790993.136,139035505,6954885516694.85,1303720000,231.9999999,1,3036.238037109375,2943.368114466095,2789.072468632839,78603114,2402740257,0,0.2737582,0.9444444,-811382056.1,South Asia
2006,Bangladesh,BGD,11059647.6524693,0,11059647.6524693,0,0,1.12,58,1,4,1,5,6,0.654,400301034558.105,140921154,7839613419837.17,1311020000,153.9999999,1,3036.238037109375,2943.368114466095,2789.072468632839,98835268,3090402929,0,0.0936231,0.9669811,-452928348.1,South Asia
