recipient_iso3,year,frequencies_by_year,counts_by_year,relevant
SRB,2002,0.02,1,1
SRB,2003,0.02,1,1
SRB,2004,0,0,1
SRB,2005,0.06,3,1
SRB,2006,0.02,1,1
SRB,2007,0.02,1,1
SRB,2008,0.07,3,1
SRB,2009,0,0,1
SRB,2010,0,0,1
SRB,2011,0.02,2,1
SRB,2012,0.02,2,1
SRB,2013,0,0,1
SRB,2014,0,0,1
SRB,2015,0,0,1
SRB,2016,0,0,1
SRB,2017,0,0,1
PRK,2000,0.02,1,1
PRK,2001,0,0,1
PRK,2002,0.04,2,1
PRK,2003,0.08,4,1
PRK,2004,0.14,7,1
PRK,2005,0.06,3,1
PRK,2006,0,0,1
PRK,2007,0.08,4,1
PRK,2008,0,0,1
PRK,2009,0.15,15,1
PRK,2010,0.11,13,1
PRK,2011,0.11,12,1
PRK,2012,0.1,9,1
PRK,2013,0.03,2,1
PRK,2014,0.03,2,1
PRK,2015,0,0,1
PRK,2016,0,0,1
PRK,2017,0,0,1
TLS,2000,0.55,27,1
TLS,2001,0.29,14,1
TLS,2002,0.48,22,1
TLS,2003,0.34,18,1
TLS,2004,0.14,7,1
TLS,2005,0.16,8,1
TLS,2006,0.27,14,1
TLS,2007,0.15,7,1
TLS,2008,0.13,6,1
TLS,2009,0.09,9,1
TLS,2010,0.18,21,1
TLS,2011,0.16,17,1
TLS,2012,0.07,7,1
TLS,2013,0.05,4,1
TLS,2014,0.06,4,1
TLS,2015,0.1,5,1
TLS,2016,0.04,2,1
TLS,2017,0.02,1,1
LKA,2000,1.49,73,1
LKA,2001,0.92,44,1
LKA,2002,1.12,51,1
LKA,2003,1.26,67,1
LKA,2004,2.62,132,1
LKA,2005,2.83,142,1
LKA,2006,0.75,39,1
LKA,2007,0.79,38,1
LKA,2008,0.09,4,1
LKA,2009,0.98,95,1
LKA,2010,0.6,69,1
LKA,2011,1.14,123,1
LKA,2012,1.21,113,1
LKA,2013,1.18,91,1
LKA,2014,1.21,81,1
LKA,2015,1.01,53,1
LKA,2016,1.08,57,1
LKA,2017,0.58,31,1
DMA,2000,0.1,5,1
DMA,2001,0.13,7,1
DMA,2002,0.15,7,1
DMA,2003,0.1,5,1
DMA,2004,0.32,15,1
DMA,2005,0.16,78,1
DMA,2006,0.14,7,1
DMA,2007,0.29,14,1
DMA,2008,0.38,17,1
DMA,2009,0.3,29,1
DMA,2010,0.75,87,1
DMA,2011,0.15,16,1
DMA,2012,0.07,7,1
DMA,2013,0.15,12,1
DMA,2014,0.07,5,1
DMA,2015,0.14,7,1
DMA,2016,0.09,5,1
DMA,2017,0.21,11,1
ETH,2000,1.86,91,1
ETH,2001,1.27,61,1
ETH,2002,1.44,66,1
ETH,2003,1.32,70,1
ETH,2004,1.17,59,1
ETH,2005,1.2,60,1
ETH,2006,2.42,125,1
ETH,2007,1.33,64,1
ETH,2008,0.63,28,1
ETH,2009,0.65,63,1
ETH,2010,0.81,93,1
ETH,2011,1.55,168,1
ETH,2012,0.82,77,1
ETH,2013,1.28,98,1
ETH,2014,1.27,85,1
ETH,2015,1.58,83,1
ETH,2016,1.63,86,1
ETH,2017,2.36,126,1
NPL,2000,0.73,36,1
NPL,2001,0.63,30,1
NPL,2002,1.16,53,1
NPL,2003,1.32,70,1
NPL,2004,0.77,39,1
NPL,2005,1.64,82,1
NPL,2006,1.7,88,1
NPL,2007,1.89,91,1
NPL,2008,0.83,37,1
NPL,2009,1.35,131,1
NPL,2010,0.86,99,1
NPL,2011,0.82,89,1
NPL,2012,0.58,54,1
NPL,2013,0.89,68,1
NPL,2014,0.82,55,1
NPL,2015,2.4,126,1
NPL,2016,0.91,48,1
NPL,2017,0.58,31,1
NER,2000,1.45,71,1
NER,2001,2.11,101,1
NER,2002,2.36,108,1
NER,2003,2.3,122,1
NER,2004,2.89,146,1
