,country_mentioned,country_matched,recipient_iso,year,frequncies_by_year,counts_by_year,relevant
61064,"Republic of Paraguay, Paraguay",Paraguay,PRY,2007,0.17,8,1
61065,"Republic of Paraguay, Paraguay",Paraguay,PRY,2008,0.04,2,1
61066,"Republic of Paraguay, Paraguay",Paraguay,PRY,2009,0.13,13,1
61067,"Republic of Paraguay, Paraguay",Paraguay,PRY,2010,0.21,24,1
61068,"Republic of Paraguay, Paraguay",Paraguay,PRY,2011,0.17,18,1
61069,"Republic of Paraguay, Paraguay",Paraguay,PRY,2012,0.04,4,1
61070,"Republic of Paraguay, Paraguay",Paraguay,PRY,2013,0.25,19,1
61071,"Republic of Paraguay, Paraguay",Paraguay,PRY,2014,0.01,1,1
61072,"Republic of Paraguay, Paraguay",Paraguay,PRY,2015,0.04,2,1
61073,"Republic of Paraguay, Paraguay",Paraguay,PRY,2016,0.08,4,1
61074,"Republic of Paraguay, Paraguay",Paraguay,PRY,2017,0.04,2,1
61093,"Republic of Peru, Peru",Peru,PER,2000,0.53,26,1
61094,"Republic of Peru, Peru",Peru,PER,2001,0.5,24,1
61095,"Republic of Peru, Peru",Peru,PER,2002,0.55,25,1
61096,"Republic of Peru, Peru",Peru,PER,2003,0.58,31,1
61097,"Republic of Peru, Peru",Peru,PER,2004,0.5,25,1
61098,"Republic of Peru, Peru",Peru,PER,2005,0.52,26,1
61099,"Republic of Peru, Peru",Peru,PER,2006,0.43,22,1
61100,"Republic of Peru, Peru",Peru,PER,2007,0.81,39,1
61101,"Republic of Peru, Peru",Peru,PER,2008,1.48,66,1
61102,"Republic of Peru, Peru",Peru,PER,2009,0.3,29,1
61103,"Republic of Peru, Peru",Peru,PER,2010,0.68,78,1
61104,"Republic of Peru, Peru",Peru,PER,2011,0.59,64,1
61105,"Republic of Peru, Peru",Peru,PER,2012,0.31,29,1
61106,"Republic of Peru, Peru",Peru,PER,2013,0.61,47,1
61107,"Republic of Peru, Peru",Peru,PER,2014,0.31,21,1
61108,"Republic of Peru, Peru",Peru,PER,2015,0.91,48,1
61109,"Republic of Peru, Peru",Peru,PER,2016,0.95,50,1
61110,"Republic of Peru, Peru",Peru,PER,2017,0.58,31,1
61165,"Republic of Rwanda, Rwanda",Rwanda,RWA,2000,0.84,41,1
61166,"Republic of Rwanda, Rwanda",Rwanda,RWA,2001,1.23,59,1
61167,"Republic of Rwanda, Rwanda",Rwanda,RWA,2002,1.23,56,1
61168,"Republic of Rwanda, Rwanda",Rwanda,RWA,2003,1.11,59,1
61169,"Republic of Rwanda, Rwanda",Rwanda,RWA,2004,1.61,81,1
61170,"Republic of Rwanda, Rwanda",Rwanda,RWA,2005,0.74,37,1
61171,"Republic of Rwanda, Rwanda",Rwanda,RWA,2006,0.45,23,1
61172,"Republic of Rwanda, Rwanda",Rwanda,RWA,2007,0.5,24,1
61173,"Republic of Rwanda, Rwanda",Rwanda,RWA,2008,0.36,16,1
61174,"Republic of Rwanda, Rwanda",Rwanda,RWA,2009,0.39,38,1
61175,"Republic of Rwanda, Rwanda",Rwanda,RWA,2010,0.3,35,1
61176,"Republic of Rwanda, Rwanda",Rwanda,RWA,2011,0.27,29,1
61177,"Republic of Rwanda, Rwanda",Rwanda,RWA,2012,0.3,28,1
61178,"Republic of Rwanda, Rwanda",Rwanda,RWA,2013,0.57,44,1
61179,"Republic of Rwanda, Rwanda",Rwanda,RWA,2014,0.61,41,1
61180,"Republic of Rwanda, Rwanda",Rwanda,RWA,2015,1.07,56,1
61181,"Republic of Rwanda, Rwanda",Rwanda,RWA,2016,1.1,58,1
61182,"Republic of Rwanda, Rwanda",Rwanda,RWA,2017,1.38,74,1
61201,"Republic of Senegal, Senegal",Senegal,SEN,2000,0.43,21,1
61202,"Republic of Senegal, Senegal",Senegal,SEN,2001,0.48,23,1
61203,"Republic of Senegal, Senegal",Senegal,SEN,2002,0.61,28,1
61204,"Republic of Senegal, Senegal",Senegal,SEN,2003,0.57,30,1
61205,"Republic of Senegal, Senegal",Senegal,SEN,2004,0.67,34,1
61206,"Republic of Senegal, Senegal",Senegal,SEN,2005,0.38,19,1
61207,"Republic of Senegal, Senegal",Senegal,SEN,2006,0.5,26,1
61208,"Republic of Senegal, Senegal",Senegal,SEN,2007,0.71,34,1
61209,"Republic of Senegal, Senegal",Senegal,SEN,2008,0.58,26,1
61210,"Republic of Senegal, Senegal",Senegal,SEN,2009,0.36,35,1
61211,"Republic of Senegal, Senegal",Senegal,SEN,2010,0.25,29,1
61212,"Republic of Senegal, Senegal",Senegal,SEN,2011,0.18,20,1
61213,"Republic of Senegal, Senegal",Senegal,SEN,2012,0.25,23,1
61214,"Republic of Senegal, Senegal",Senegal,SEN,2013,0.39,30,1
61215,"Republic of Senegal, Senegal",Senegal,SEN,2014,0.33,22,1
61216,"Republic of Senegal, Senegal",Senegal,SEN,2015,0.29,15,1
61217,"Republic of Senegal, Senegal",Senegal,SEN,2016,0.34,18,1
61218,"Republic of Senegal, Senegal",Senegal,SEN,2017,0.26,14,1
61237,"Republic of Seychelles, Seychelles",Seychelles,SYC,2000,0.12,6,1
61238,"Republic of Seychelles, Seychelles",Seychelles,SYC,2001,0.13,6,1
61239,"Republic of Seychelles, Seychelles",Seychelles,SYC,2002,0.26,12,1
61240,"Republic of Seychelles, Seychelles",Seychelles,SYC,2003,0.11,6,1
61241,"Republic of Seychelles, Seychelles",Seychelles,SYC,2004,0.26,13,1
61242,"Republic of Seychelles, Seychelles",Seychelles,SYC,2005,0.18,9,1
61243,"Republic of Seychelles, Seychelles",Seychelles,SYC,2006,0.15,8,1
61244,"Republic of Seychelles, Seychelles",Seychelles,SYC,2007,0.15,7,1
61245,"Republic of Seychelles, Seychelles",Seychelles,SYC,2008,0.09,4,1
61246,"Republic of Seychelles, Seychelles",Seychelles,SYC,2009,0.1,10,1
61247,"Republic of Seychelles, Seychelles",Seychelles,SYC,2010,0.16,18,1
61248,"Republic of Seychelles, Seychelles",Seychelles,SYC,2011,0.06,6,1
61249,"Republic of Seychelles, Seychelles",Seychelles,SYC,2012,0.09,8,1
61250,"Republic of Seychelles, Seychelles",Seychelles,SYC,2013,0.01,1,1
61251,"Republic of Seychelles, Seychelles",Seychelles,SYC,2014,0.06,4,1
61252,"Republic of Seychelles, Seychelles",Seychelles,SYC,2015,0.1,5,1
61253,"Republic of Seychelles, Seychelles",Seychelles,SYC,2016,0.04,2,1
61254,"Republic of Seychelles, Seychelles",Seychelles,SYC,2017,0.09,5,1
61273,"Republic of Sierra Leone, Sierra Leone",Sierra Leone,SLE,2000,0.53,26,1
61274,"Republic of Sierra Leone, Sierra Leone",Sierra Leone,SLE,2001,0.56,27,1
61275,"Republic of Sierra Leone, Sierra Leone",Sierra Leone,SLE,2002,0.63,29,1
61276,"Republic of Sierra Leone, Sierra Leone",Sierra Leone,SLE,2003,0.23,12,1
61277,"Republic of Sierra Leone, Sierra Leone",Sierra Leone,SLE,2004,0.32,16,1
61278,"Republic of Sierra Leone, Sierra Leone",Sierra Leone,SLE,2005,0.14,7,1
61279,"Republic of Sierra Leone, Sierra Leone",Sierra Leone,SLE,2006,0.1,5,1
61280,"Republic of Sierra Leone, Sierra Leone",Sierra Leone,SLE,2007,0.19,9,1
61281,"Republic of Sierra Leone, Sierra Leone",Sierra Leone,SLE,2008,0.07,3,1
61282,"Republic of Sierra Leone, Sierra Leone",Sierra Leone,SLE,2009,0.17,17,1
61283,"Republic of Sierra Leone, Sierra Leone",Sierra Leone,SLE,2010,0.31,36,1
61284,"Republic of Sierra Leone, Sierra Leone",Sierra Leone,SLE,2011,0.09,10,1
61285,"Republic of Sierra Leone, Sierra Leone",Sierra Leone,SLE,2012,0.1,9,1
61286,"Republic of Sierra Leone, Sierra Leone",Sierra Leone,SLE,2013,0.25,19,1
61287,"Republic of Sierra Leone, Sierra Leone",Sierra Leone,SLE,2014,1.48,99,1
61288,"Republic of Sierra Leone, Sierra Leone",Sierra Leone,SLE,2015,0.69,36,1
61289,"Republic of Sierra Leone, Sierra Leone",Sierra Leone,SLE,2016,0.25,13,1
61290,"Republic of Sierra Leone, Sierra Leone",Sierra Leone,SLE,2017,0.24,13,1
61381,"Republic of South Africa, South Africa",South Africa,ZAF,2000,3.43,168,1
61382,"Republic of South Africa, South Africa",South Africa,ZAF,2001,3.62,173,1
61383,"Republic of South Africa, South Africa",South Africa,ZAF,2002,4.68,214,1
61384,"Republic of South Africa, South Africa",South Africa,ZAF,2003,2.7,143,1
61385,"Republic of South Africa, South Africa",South Africa,ZAF,2004,2.4,121,1
61386,"Republic of South Africa, South Africa",South Africa,ZAF,2005,2.67,134,1
61387,"Republic of South Africa, South Africa",South Africa,ZAF,2006,2.69,139,1
61388,"Republic of South Africa, South Africa",South Africa,ZAF,2007,2.79,134,1
61389,"Republic of South Africa, South Africa",South Africa,ZAF,2008,1.37,61,1
61390,"Republic of South Africa, South Africa",South Africa,ZAF,2009,2.01,196,1
61391,"Republic of South Africa, South Africa",South Africa,ZAF,2010,1.52,175,1
61392,"Republic of South Africa, South Africa",South Africa,ZAF,2011,2.29,248,1
61393,"Republic of South Africa, South Africa",South Africa,ZAF,2012,2.48,232,1
61394,"Republic of South Africa, South Africa",South Africa,ZAF,2013,3.62,278,1
61395,"Republic of South Africa, South Africa",South Africa,ZAF,2014,1.81,121,1
61396,"Republic of South Africa, South Africa",South Africa,ZAF,2015,2.73,143,1
61397,"Republic of South Africa, South Africa",South Africa,ZAF,2016,2.77,146,1
61398,"Republic of South Africa, South Africa",South Africa,ZAF,2017,2.73,146,1
61417,"Republic of Suriname, Suriname",Suriname,SUR,2000,0.04,2,1
61418,"Republic of Suriname, Suriname",Suriname,SUR,2001,0.02,1,1
61419,"Republic of Suriname, Suriname",Suriname,SUR,2002,0.02,1,1
61420,"Republic of Suriname, Suriname",Suriname,SUR,2003,NA,NA,1
61421,"Republic of Suriname, Suriname",Suriname,SUR,2004,0.02,1,1
61422,"Republic of Suriname, Suriname",Suriname,SUR,2005,0.02,1,1
61423,"Republic of Suriname, Suriname",Suriname,SUR,2006,0.04,2,1
61424,"Republic of Suriname, Suriname",Suriname,SUR,2007,0.02,1,1
61425,"Republic of Suriname, Suriname",Suriname,SUR,2008,0.07,3,1
61426,"Republic of Suriname, Suriname",Suriname,SUR,2009,0.01,1,1
61427,"Republic of Suriname, Suriname",Suriname,SUR,2010,0.03,4,1
61428,"Republic of Suriname, Suriname",Suriname,SUR,2011,0.03,3,1
61429,"Republic of Suriname, Suriname",Suriname,SUR,2012,0.04,4,1
61430,"Republic of Suriname, Suriname",Suriname,SUR,2013,0.03,2,1
61431,"Republic of Suriname, Suriname",Suriname,SUR,2014,0.04,3,1
61432,"Republic of Suriname, Suriname",Suriname,SUR,2015,NA,NA,1
61433,"Republic of Suriname, Suriname",Suriname,SUR,2016,0.06,3,1
61434,"Republic of Suriname, Suriname",Suriname,SUR,2017,0.02,1,1
61453,"Republic of Tajikistan, Tajikistan",Tajikistan,TJK,2000,0.14,7,1
61454,"Republic of Tajikistan, Tajikistan",Tajikistan,TJK,2001,0.4,19,1
61455,"Republic of Tajikistan, Tajikistan",Tajikistan,TJK,2002,0.35,16,1
61456,"Republic of Tajikistan, Tajikistan",Tajikistan,TJK,2003,0.09,5,1
61457,"Republic of Tajikistan, Tajikistan",Tajikistan,TJK,2004,0.12,6,1
61458,"Republic of Tajikistan, Tajikistan",Tajikistan,TJK,2005,0.22,11,1
61459,"Republic of Tajikistan, Tajikistan",Tajikistan,TJK,2006,0.29,15,1
61460,"Republic of Tajikistan, Tajikistan",Tajikistan,TJK,2007,0.25,12,1
61461,"Republic of Tajikistan, Tajikistan",Tajikistan,TJK,2008,0.43,19,1
61462,"Republic of Tajikistan, Tajikistan",Tajikistan,TJK,2009,0.29,28,1
61463,"Republic of Tajikistan, Tajikistan",Tajikistan,TJK,2010,0.14,16,1
61464,"Republic of Tajikistan, Tajikistan",Tajikistan,TJK,2011,0.28,30,1
61465,"Republic of Tajikistan, Tajikistan",Tajikistan,TJK,2012,0.19,18,1
61466,"Republic of Tajikistan, Tajikistan",Tajikistan,TJK,2013,0.27,21,1
61467,"Republic of Tajikistan, Tajikistan",Tajikistan,TJK,2014,0.48,32,1
61468,"Republic of Tajikistan, Tajikistan",Tajikistan,TJK,2015,0.3,16,1
61469,"Republic of Tajikistan, Tajikistan",Tajikistan,TJK,2016,0.27,14,1
61470,"Republic of Tajikistan, Tajikistan",Tajikistan,TJK,2017,0.36,19,1
61507,"Republic of the Marshall Islands, Marshall Islands",Marshall Islands,MHL,2000,0.06,3,1
61508,"Republic of the Marshall Islands, Marshall Islands",Marshall Islands,MHL,2001,NA,NA,1
61509,"Republic of the Marshall Islands, Marshall Islands",Marshall Islands,MHL,2002,NA,NA,1
61510,"Republic of the Marshall Islands, Marshall Islands",Marshall Islands,MHL,2003,NA,NA,1
61511,"Republic of the Marshall Islands, Marshall Islands",Marshall Islands,MHL,2004,0.06,3,1
61512,"Republic of the Marshall Islands, Marshall Islands",Marshall Islands,MHL,2005,0.04,2,1
61513,"Republic of the Marshall Islands, Marshall Islands",Marshall Islands,MHL,2006,0.06,3,1
61514,"Republic of the Marshall Islands, Marshall Islands",Marshall Islands,MHL,2007,0.06,3,1
61515,"Republic of the Marshall Islands, Marshall Islands",Marshall Islands,MHL,2008,0.09,4,1
61516,"Republic of the Marshall Islands, Marshall Islands",Marshall Islands,MHL,2009,0.06,6,1
61517,"Republic of the Marshall Islands, Marshall Islands",Marshall Islands,MHL,2010,0.03,3,1
61518,"Republic of the Marshall Islands, Marshall Islands",Marshall Islands,MHL,2011,0.06,6,1
61519,"Republic of the Marshall Islands, Marshall Islands",Marshall Islands,MHL,2012,0.06,6,1
61520,"Republic of the Marshall Islands, Marshall Islands",Marshall Islands,MHL,2013,0.18,14,1
61521,"Republic of the Marshall Islands, Marshall Islands",Marshall Islands,MHL,2014,0.01,1,1
61522,"Republic of the Marshall Islands, Marshall Islands",Marshall Islands,MHL,2015,0.17,9,1
61523,"Republic of the Marshall Islands, Marshall Islands",Marshall Islands,MHL,2016,NA,NA,1
61524,"Republic of the Marshall Islands, Marshall Islands",Marshall Islands,MHL,2017,0.02,1,1
61543,"Republic of the Philippines, Philippines",Philippines,PHL,2000,1.29,63,1
61544,"Republic of the Philippines, Philippines",Philippines,PHL,2001,1.27,61,1
61545,"Republic of the Philippines, Philippines",Philippines,PHL,2002,2.1,96,1
61546,"Republic of the Philippines, Philippines",Philippines,PHL,2003,2.42,128,1
61547,"Republic of the Philippines, Philippines",Philippines,PHL,2004,2.26,114,1
61548,"Republic of the Philippines, Philippines",Philippines,PHL,2005,2.04,102,1
61549,"Republic of the Philippines, Philippines",Philippines,PHL,2006,1.66,86,1
61550,"Republic of the Philippines, Philippines",Philippines,PHL,2007,1.58,76,1
61551,"Republic of the Philippines, Philippines",Philippines,PHL,2008,1.21,54,1
61552,"Republic of the Philippines, Philippines",Philippines,PHL,2009,2.33,227,1
61553,"Republic of the Philippines, Philippines",Philippines,PHL,2010,2.88,183,1
61554,"Republic of the Philippines, Philippines",Philippines,PHL,2011,2.05,221,1
61555,"Republic of the Philippines, Philippines",Philippines,PHL,2012,1.88,176,1
61556,"Republic of the Philippines, Philippines",Philippines,PHL,2013,3.27,251,1
61557,"Republic of the Philippines, Philippines",Philippines,PHL,2014,1.48,99,1
61558,"Republic of the Philippines, Philippines",Philippines,PHL,2015,1.47,77,1
61559,"Republic of the Philippines, Philippines",Philippines,PHL,2016,1.23,65,1
61560,"Republic of the Philippines, Philippines",Philippines,PHL,2017,1.05,56,1
61579,"Republic of the Sudan, Sudan",South Sudan,SSD,2000,0.61,30,1
61580,"Republic of the Sudan, Sudan",South Sudan,SSD,2001,0.71,34,1
61581,"Republic of the Sudan, Sudan",South Sudan,SSD,2002,0.88,40,1
61582,"Republic of the Sudan, Sudan",South Sudan,SSD,2003,0.72,38,1
61583,"Republic of the Sudan, Sudan",South Sudan,SSD,2004,2.6,131,1
61584,"Republic of the Sudan, Sudan",South Sudan,SSD,2005,1.98,99,1
61585,"Republic of the Sudan, Sudan",South Sudan,SSD,2006,2.61,135,1
61586,"Republic of the Sudan, Sudan",South Sudan,SSD,2007,2.33,112,1
61587,"Republic of the Sudan, Sudan",South Sudan,SSD,2008,1.01,45,1
61588,"Republic of the Sudan, Sudan",South Sudan,SSD,2009,1.33,129,1
61589,"Republic of the Sudan, Sudan",South Sudan,SSD,2010,1.24,142,1
61590,"Republic of the Sudan, Sudan",South Sudan,SSD,2011,0.87,94,1
61591,"Republic of the Sudan, Sudan",South Sudan,SSD,2012,0.56,52,1
61592,"Republic of the Sudan, Sudan",South Sudan,SSD,2013,0.87,67,1
61593,"Republic of the Sudan, Sudan",South Sudan,SSD,2014,0.91,61,1
61594,"Republic of the Sudan, Sudan",South Sudan,SSD,2015,0.78,41,1
61595,"Republic of the Sudan, Sudan",South Sudan,SSD,2016,1.33,70,1
61596,"Republic of the Sudan, Sudan",South Sudan,SSD,2017,2.54,136,1
61651,"Republic of Tunisia, Tunisia",Tunisia,TUN,2000,0.37,18,1
61652,"Republic of Tunisia, Tunisia",Tunisia,TUN,2001,0.33,16,1
61653,"Republic of Tunisia, Tunisia",Tunisia,TUN,2002,0.22,10,1
61654,"Republic of Tunisia, Tunisia",Tunisia,TUN,2003,0.15,8,1
61655,"Republic of Tunisia, Tunisia",Tunisia,TUN,2004,0.63,32,1
61656,"Republic of Tunisia, Tunisia",Tunisia,TUN,2005,0.32,16,1
61657,"Republic of Tunisia, Tunisia",Tunisia,TUN,2006,0.25,13,1
61658,"Republic of Tunisia, Tunisia",Tunisia,TUN,2007,0.08,4,1
61659,"Republic of Tunisia, Tunisia",Tunisia,TUN,2008,0.34,15,1
61660,"Republic of Tunisia, Tunisia",Tunisia,TUN,2009,0.29,28,1
61661,"Republic of Tunisia, Tunisia",Tunisia,TUN,2010,0.35,40,1
61662,"Republic of Tunisia, Tunisia",Tunisia,TUN,2011,1.87,202,1
61663,"Republic of Tunisia, Tunisia",Tunisia,TUN,2012,0.6,56,1
61664,"Republic of Tunisia, Tunisia",Tunisia,TUN,2013,0.23,18,1
61665,"Republic of Tunisia, Tunisia",Tunisia,TUN,2014,0.13,9,1
61666,"Republic of Tunisia, Tunisia",Tunisia,TUN,2015,0.38,20,1
61667,"Republic of Tunisia, Tunisia",Tunisia,TUN,2016,0.36,19,1
61668,"Republic of Tunisia, Tunisia",Tunisia,TUN,2017,0.77,41,1
61723,"Republic of Uganda, Uganda",Uganda,UGA,2000,2.71,133,1
61724,"Republic of Uganda, Uganda",Uganda,UGA,2001,3.13,150,1
61725,"Republic of Uganda, Uganda",Uganda,UGA,2002,2.75,126,1
61726,"Republic of Uganda, Uganda",Uganda,UGA,2003,3.94,209,1
61727,"Republic of Uganda, Uganda",Uganda,UGA,2004,3.88,197,1
61728,"Republic of Uganda, Uganda",Uganda,UGA,2005,3.09,155,1
61729,"Republic of Uganda, Uganda",Uganda,UGA,2006,2.19,113,1
61730,"Republic of Uganda, Uganda",Uganda,UGA,2007,2.1,101,1
61731,"Republic of Uganda, Uganda",Uganda,UGA,2008,0.67,30,1
61732,"Republic of Uganda, Uganda",Uganda,UGA,2009,0.93,91,1
61733,"Republic of Uganda, Uganda",Uganda,UGA,2010,0.71,81,1
61734,"Republic of Uganda, Uganda",Uganda,UGA,2011,0.68,74,1
61735,"Republic of Uganda, Uganda",Uganda,UGA,2012,0.52,49,1
61736,"Republic of Uganda, Uganda",Uganda,UGA,2013,0.78,60,1
61737,"Republic of Uganda, Uganda",Uganda,UGA,2014,1.11,74,1
61738,"Republic of Uganda, Uganda",Uganda,UGA,2015,0.86,45,1
61739,"Republic of Uganda, Uganda",Uganda,UGA,2016,1.04,55,1
61740,"Republic of Uganda, Uganda",Uganda,UGA,2017,1.46,78,1
61759,"Republic of Uzbekistan, Uzbekistan",Uzbekistan,UZB,2000,0.14,7,1
61760,"Republic of Uzbekistan, Uzbekistan",Uzbekistan,UZB,2001,0.29,14,1
61761,"Republic of Uzbekistan, Uzbekistan",Uzbekistan,UZB,2002,0.28,13,1
61762,"Republic of Uzbekistan, Uzbekistan",Uzbekistan,UZB,2003,0.23,12,1
61763,"Republic of Uzbekistan, Uzbekistan",Uzbekistan,UZB,2004,0.16,8,1
61764,"Republic of Uzbekistan, Uzbekistan",Uzbekistan,UZB,2005,0.22,11,1
61765,"Republic of Uzbekistan, Uzbekistan",Uzbekistan,UZB,2006,0.27,14,1
61766,"Republic of Uzbekistan, Uzbekistan",Uzbekistan,UZB,2007,0.25,12,1
61767,"Republic of Uzbekistan, Uzbekistan",Uzbekistan,UZB,2008,0.4,18,1
61768,"Republic of Uzbekistan, Uzbekistan",Uzbekistan,UZB,2009,0.37,36,1
61769,"Republic of Uzbekistan, Uzbekistan",Uzbekistan,UZB,2010,0.39,45,1
61770,"Republic of Uzbekistan, Uzbekistan",Uzbekistan,UZB,2011,0.31,33,1
61771,"Republic of Uzbekistan, Uzbekistan",Uzbekistan,UZB,2012,0.33,31,1
61772,"Republic of Uzbekistan, Uzbekistan",Uzbekistan,UZB,2013,0.26,20,1
61773,"Republic of Uzbekistan, Uzbekistan",Uzbekistan,UZB,2014,0.25,17,1
61774,"Republic of Uzbekistan, Uzbekistan",Uzbekistan,UZB,2015,0.23,12,1
61775,"Republic of Uzbekistan, Uzbekistan",Uzbekistan,UZB,2016,0.34,18,1
61776,"Republic of Uzbekistan, Uzbekistan",Uzbekistan,UZB,2017,0.19,10,1
61795,"Republic of Vanuatu, Vanuatu",Vanuatu,VUT,2000,0.04,2,1
61796,"Republic of Vanuatu, Vanuatu",Vanuatu,VUT,2001,0.02,1,1
61797,"Republic of Vanuatu, Vanuatu",Vanuatu,VUT,2002,0.04,2,1
61798,"Republic of Vanuatu, Vanuatu",Vanuatu,VUT,2003,0.02,1,1
61799,"Republic of Vanuatu, Vanuatu",Vanuatu,VUT,2004,0.1,5,1
61800,"Republic of Vanuatu, Vanuatu",Vanuatu,VUT,2005,0.1,5,1
61801,"Republic of Vanuatu, Vanuatu",Vanuatu,VUT,2006,0.15,8,1
61802,"Republic of Vanuatu, Vanuatu",Vanuatu,VUT,2007,0.06,3,1
61803,"Republic of Vanuatu, Vanuatu",Vanuatu,VUT,2008,0.09,4,1
61804,"Republic of Vanuatu, Vanuatu",Vanuatu,VUT,2009,0.16,16,1
61805,"Republic of Vanuatu, Vanuatu",Vanuatu,VUT,2010,0.11,13,1
61806,"Republic of Vanuatu, Vanuatu",Vanuatu,VUT,2011,0.16,17,1
61807,"Republic of Vanuatu, Vanuatu",Vanuatu,VUT,2012,0.09,8,1
61808,"Republic of Vanuatu, Vanuatu",Vanuatu,VUT,2013,0.16,12,1
61809,"Republic of Vanuatu, Vanuatu",Vanuatu,VUT,2014,0.06,4,1
61810,"Republic of Vanuatu, Vanuatu",Vanuatu,VUT,2015,0.23,12,1
61811,"Republic of Vanuatu, Vanuatu",Vanuatu,VUT,2016,0.08,4,1
61812,"Republic of Vanuatu, Vanuatu",Vanuatu,VUT,2017,0.06,3,1
61813,Republic of Vietnam,Vietnam,VNM,2000,NA,NA,1
61814,Republic of Vietnam,Vietnam,VNM,2001,NA,NA,1
61815,Republic of Vietnam,Vietnam,VNM,2002,NA,NA,1
61816,Republic of Vietnam,Vietnam,VNM,2003,NA,NA,1
61817,Republic of Vietnam,Vietnam,VNM,2004,NA,NA,1
61818,Republic of Vietnam,Vietnam,VNM,2005,NA,NA,1
61819,Republic of Vietnam,Vietnam,VNM,2006,NA,NA,1
61820,Republic of Vietnam,Vietnam,VNM,2007,NA,NA,1
61821,Republic of Vietnam,Vietnam,VNM,2008,NA,NA,1
61822,Republic of Vietnam,Vietnam,VNM,2009,NA,NA,1
61823,Republic of Vietnam,Vietnam,VNM,2010,NA,NA,1
61824,Republic of Vietnam,Vietnam,VNM,2011,NA,NA,1
61825,Republic of Vietnam,Vietnam,VNM,2012,NA,NA,1
61826,Republic of Vietnam,Vietnam,VNM,2013,NA,NA,1
61827,Republic of Vietnam,Vietnam,VNM,2014,NA,NA,1
61828,Republic of Vietnam,Vietnam,VNM,2015,NA,NA,1
61829,Republic of Vietnam,Vietnam,VNM,2016,0.02,1,1
61830,Republic of Vietnam,Vietnam,VNM,2017,NA,NA,1
61849,"Republic of Yemen, Yemen",Yemen,YEM,2000,0.27,13,1
61850,"Republic of Yemen, Yemen",Yemen,YEM,2001,0.1,5,1
61851,"Republic of Yemen, Yemen",Yemen,YEM,2002,0.2,9,1
61852,"Republic of Yemen, Yemen",Yemen,YEM,2003,0.04,2,1
61853,"Republic of Yemen, Yemen",Yemen,YEM,2004,0.16,8,1
61854,"Republic of Yemen, Yemen",Yemen,YEM,2005,0.08,4,1
61855,"Republic of Yemen, Yemen",Yemen,YEM,2006,0.12,6,1
61856,"Republic of Yemen, Yemen",Yemen,YEM,2007,0.08,4,1
61857,"Republic of Yemen, Yemen",Yemen,YEM,2008,0.22,10,1
61858,"Republic of Yemen, Yemen",Yemen,YEM,2009,0.4,39,1
61859,"Republic of Yemen, Yemen",Yemen,YEM,2010,0.54,62,1
61860,"Republic of Yemen, Yemen",Yemen,YEM,2011,0.75,81,1
61861,"Republic of Yemen, Yemen",Yemen,YEM,2012,0.89,83,1
61862,"Republic of Yemen, Yemen",Yemen,YEM,2013,0.44,34,1
61863,"Republic of Yemen, Yemen",Yemen,YEM,2014,0.18,12,1
61864,"Republic of Yemen, Yemen",Yemen,YEM,2015,1.62,85,1
61865,"Republic of Yemen, Yemen",Yemen,YEM,2016,0.57,30,1
61866,"Republic of Yemen, Yemen",Yemen,YEM,2017,0.79,42,1
61885,"Republic of Zambia, Zambia",Zambia,ZMB,2000,2.06,101,1
61886,"Republic of Zambia, Zambia",Zambia,ZMB,2001,1.61,77,1
61887,"Republic of Zambia, Zambia",Zambia,ZMB,2002,2.63,120,1
61888,"Republic of Zambia, Zambia",Zambia,ZMB,2003,2.3,122,1
61889,"Republic of Zambia, Zambia",Zambia,ZMB,2004,2.2,111,1
61890,"Republic of Zambia, Zambia",Zambia,ZMB,2005,1.6,80,1
61891,"Republic of Zambia, Zambia",Zambia,ZMB,2006,3.02,156,1
61892,"Republic of Zambia, Zambia",Zambia,ZMB,2007,3.39,163,1
61893,"Republic of Zambia, Zambia",Zambia,ZMB,2008,0.31,14,1
61894,"Republic of Zambia, Zambia",Zambia,ZMB,2009,1.56,152,1
61895,"Republic of Zambia, Zambia",Zambia,ZMB,2010,0.67,77,1
61896,"Republic of Zambia, Zambia",Zambia,ZMB,2011,0.77,83,1
61897,"Republic of Zambia, Zambia",Zambia,ZMB,2012,0.59,55,1
61898,"Republic of Zambia, Zambia",Zambia,ZMB,2013,0.62,48,1
61899,"Republic of Zambia, Zambia",Zambia,ZMB,2014,0.51,34,1
61900,"Republic of Zambia, Zambia",Zambia,ZMB,2015,0.78,41,1
61901,"Republic of Zambia, Zambia",Zambia,ZMB,2016,1.04,55,1
61902,"Republic of Zambia, Zambia",Zambia,ZMB,2017,1.03,55,1
61921,"Republic of Zimbabwe, Zimbabwe",Zimbabwe,ZWE,2000,2,98,1
61922,"Republic of Zimbabwe, Zimbabwe",Zimbabwe,ZWE,2001,2.15,103,1
61923,"Republic of Zimbabwe, Zimbabwe",Zimbabwe,ZWE,2002,2.87,131,1
61924,"Republic of Zimbabwe, Zimbabwe",Zimbabwe,ZWE,2003,1.92,102,1
61925,"Republic of Zimbabwe, Zimbabwe",Zimbabwe,ZWE,2004,1.69,85,1
61926,"Republic of Zimbabwe, Zimbabwe",Zimbabwe,ZWE,2005,1.28,64,1
61927,"Republic of Zimbabwe, Zimbabwe",Zimbabwe,ZWE,2006,1.9,98,1
