"","country_mentioned","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"62","Hungary",597,596,482,526,839,566,693,852,1389,1531,1549,1169,996,668,684
"63","Independent State of Papua New Guinea, Papua New Guinea",140,173,183,213,313,209,339,318,202,687,748,624,508,341,272
"64","Independent State of Samoa, Samoa",52,21,35,28,104,56,95,115,65,371,212,253,134,112,94
"65","Ireland",387,556,625,474,660,506,455,379,730,1058,1529,1792,1122,668,732
"66","Islamic Republic of Afghanistan, Afghanistan",640,4461,2966,2199,2471,2409,3278,3786,2629,8831,10746,7713,5315,3422,3134
"67","Islamic Republic of Iran, Iran",2229,1959,2087,2562,2373,2941,5480,4094,2701,6989,7791,5836,7101,4626,2772
"68","Islamic Republic of Mauritania, Mauritania",84,62,61,90,110,119,110,194,147,380,357,253,270,145,118
"69","Islamic Republic of Pakistan, Pakistan",1967,3013,3526,2938,3264,3263,3300,3415,2652,9123,10152,7872,5556,4516,3147
"70","Isle of Man",4,7,5,8,12,3,5,13,4,10,31,39,52,49,11
"71","Jamaica",184,227,145,186,321,264,238,247,389,610,424,377,326,366,153
"72","Japan",4952,6022,7343,6840,6571,7078,7561,6772,7420,12666,14521,15531,9882,7971,7046
"73","Kingdom of Bahrain, Bahrain",355,302,399,440,532,325,491,373,331,625,653,1586,626,485,399
"74","Kingdom of Belgium, Belgium",1347,1418,1199,1183,1412,1192,1461,1009,1415,1726,2190,1488,1380,1058,1176
"75","Kingdom of Bhutan, Bhutan",118,88,92,108,128,163,130,156,65,157,395,203,138,65,90
"76","Kingdom of Cambodia, Cambodia",755,855,1003,1037,1006,1072,1026,1398,944,2958,3069,3712,2629,2108,1407
"77","Kingdom of Denmark, Denmark",730,594,974,696,1036,976,943,885,1514,2433,2332,2045,1735,883,1002
"78","Kingdom of Lesotho, Lesotho",126,143,296,182,161,116,204,254,72,159,152,122,126,127,128
"79","Kingdom of Morocco, Morocco",611,527,625,585,696,475,460,683,494,689,729,782,846,600,517
"80","Kingdom of Norway, Norway",872,781,740,807,1034,919,1225,1029,1437,1562,1801,1662,1217,901,1102
"81","Kingdom of Saudi Arabia, Saudi Arabia",1184,1038,1332,1371,1361,945,1314,1331,850,1917,2261,2495,1971,1579,1127
"82","Kingdom of Spain, Spain",2272,2375,2696,3161,3630,2974,3291,2578,4707,6347,7610,5988,6507,4429,3553
"83","Kingdom of Swaziland, Swaziland",155,139,249,177,163,94,146,186,93,208,120,134,75,48,48
"84","Kingdom of Sweden, Sweden",1581,1516,1435,1191,1693,1578,1961,1500,2308,2525,2964,2209,1711,1059,1342
"85","Kingdom of Thailand, Thailand",2130,2398,3757,3385,3732,3682,4036,4037,2972,6840,7051,5713,3879,3290,2297
"86","Kingdom of Tonga, Tonga",47,45,28,41,101,101,190,168,91,369,267,273,142,150,96
"87","Kingdom of the Netherlands, Netherlands",1730,1482,1408,1438,1892,1858,2109,1561,2800,2615,3408,2305,2264,2054,2297
"88","Kyrgyz Republic, Kyrgyzstan",263,201,236,154,206,451,434,315,342,643,1877,669,534,383,305
"89","Lao People's Democratic Republic, Laos",429,433,570,599,702,659,648,680,606,1412,1553,1857,1180,683,586
"90","Lebanon",1885,1181,1187,747,650,1230,4287,1840,1109,2151,2266,1596,1946,1945,1052
"91","Libya",454,409,382,467,745,373,348,496,377,762,947,9227,1912,1233,1284
"92","Macau Special Administrative Region, Macao",1241,834,895,921,985,1301,1175,1195,1475,2218,1998,1256,728,500,422
"93","Malaysia",1823,1699,2312,2359,2458,2390,2907,3033,1865,4872,4943,4153,3003,2856,2996
"94","Martinique",1,6,12,7,21,31,7,9,NA,6,18,10,8,16,2
"95","Mayotte",NA,5,1,NA,NA,NA,1,18,6,4,NA,9,11,NA,5
"96","Mexico",1119,1218,1200,1578,1577,1304,1472,1408,1941,5240,4127,2360,2060,1578,1224
"97","Mongolia",342,333,320,237,207,354,480,320,601,694,1029,752,677,367,364
"98","Montenegro",106,105,59,437,594,770,998,125,216,211,325,219,202,200,184
"99","Montserrat",5,2,6,5,3,10,3,NA,3,3,13,7,NA,5,3
"100","Nauru",31,40,38,19,93,33,32,33,21,89,130,82,70,55,42
"101","Netherlands Antilles",26,4,6,6,28,12,9,25,47,30,30,10,12,NA,2
"102","New Zealand",1599,1239,1236,1688,1658,1948,1841,1614,2251,4259,4760,4614,3505,3222,2780
"103","Niue",5,2,2,4,52,23,54,36,24,135,38,62,41,18,15
"104","Nouvelle-Caledonie, New Caledonia",11,5,11,3,23,21,24,48,19,122,38,40,52,21,13
"105","Oriental Republic of Uruguay, Uruguay",365,498,580,407,505,536,434,545,491,861,1296,746,495,694,520
"106","Palestine, Palestinian Territory",783,758,1449,951,691,462,791,499,396,792,916,1102,717,474,574
"107","People's Democratic Republic of Algeria, Algeria",506,387,342,469,628,445,356,968,739,810,1108,1401,1115,994,811
"108","People's Republic of China, China",24078,22074,20835,22030,22805,25046,27957,26640,42262,47455,56632,52609,49382,41137,36122
"109","Pitcairn, Henderson, Ducie and Oeno Islands, Pitcairn",NA,2,1,NA,NA,NA,NA,NA,NA,6,4,4,NA,1,NA
"110","Plurinational State of Bolivia, Bolivia",268,235,214,387,450,449,460,469,735,831,688,501,334,513,313
"111","Polynesie Francaise, French Polynesia",4,4,6,4,14,5,20,14,10,113,54,23,14,10,5
"112","Portuguese Republic, Portugal",778,703,1031,846,1331,870,1162,878,1160,1363,2538,1942,1732,1104,1361
"113","Principality of Andorra, Andorra",37,29,27,34,66,60,43,55,41,136,48,47,36,70,36
"114","Principality of Liechtenstein, Liechtenstein",67,51,34,87,90,100,80,72,78,128,95,106,46,81,61
"115","Principality of Monaco, Commune de Monaco, Monaco",135,79,138,132,297,194,129,114,170,246,224,146,108,132,225
"116","Puerto Rico",68,32,69,66,198,127,206,120,114,150,257,125,129,140,123
"117","Repubblica Italiana, Italy",2677,2754,2905,3081,3531,3352,4227,3045,4356,5650,5761,6365,5383,4227,3866
"118","Repubblica di San Marino, San Marino",49,30,50,87,78,77,67,47,65,139,58,27,28,63,16
"119","Republic of Albania, Albania",254,231,155,172,221,240,257,282,288,399,328,381,184,485,536
"120","Republic of Angola, Angola",987,975,863,793,710,533,858,979,667,1036,905,694,528,382,385
"121","Republic of Armenia, Armenia",198,166,103,183,209,191,142,196,322,447,497,561,371,351,203
"122","Republic of Austria, Austria",1201,995,807,926,1133,1281,1347,1286,1747,2196,2114,1800,1274,1061,1181
"123","Republic of Azerbaijan, Azerbaijan",291,176,155,144,256,247,279,320,442,471,602,642,762,434,354
"124","Republic of Belarus, Belarus",546,565,362,482,543,639,733,891,1129,1212,1853,1574,1201,807,729
"125","Republic of Benin, Benin",114,116,116,157,230,204,147,238,183,214,271,249,321,202,114
"126","Republic of Botswana, Botswana",357,335,364,328,337,217,353,392,167,334,421,531,510,455,321
"127","Republic of Bulgaria, Bulgaria",568,587,601,719,712,670,862,724,974,1082,1077,980,910,694,704
