,country_mentioned,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
187,"Republic of Slovenia, Slovenia",0.17,0.2,0.26,0.2,0.19,0.23,0.21,0.22,0.33,0.2,0.21,0.18,0.19,0.17,0.26
188,"Republic of South Africa, South Africa",1.13,1.13,1.23,0.98,0.95,0.86,0.79,0.94,0.63,0.78,1.12,0.75,0.82,1.04,0.68
189,"Republic of Suriname, Suriname",0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.01
190,"Republic of Tajikistan, Tajikistan",0.11,0.16,0.1,0.07,0.07,0.09,0.16,0.08,0.12,0.09,0.12,0.09,0.1,0.06,0.13
191,Republic of the Congo,0.12,0.11,0.08,0.11,0.12,0.09,0.09,0.08,0.05,0.06,0.06,0.04,0.05,0.07,0.03
192,"Republic of the Marshall Islands, Marshall Islands",0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.02,0.01
193,"Republic of the Philippines, Philippines",0.7,0.72,1.07,1.05,0.93,0.83,0.65,0.74,0.45,1.03,0.82,0.78,0.73,0.83,0.64
194,"Republic of the Sudan, Sudan",0.27,0.24,0.34,0.31,0.76,0.63,0.64,0.64,0.29,0.39,0.41,0.44,0.48,0.37,0.24
195,"Republic of Trinidad and Tobago, Trinidad and Tobago",0.07,0.05,0.03,0.03,0.04,0.06,0.07,0.04,0.07,0.11,0.03,0.02,0.04,0.06,0.04
196,"Republic of Tunisia, Tunisia",0.18,0.19,0.21,0.17,0.31,0.17,0.16,0.18,0.15,0.15,0.14,0.55,0.38,0.25,0.18
197,"Republic of Turkey, Turkey",0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
198,"Republic of Uganda, Uganda",0.62,0.6,0.68,0.81,0.73,0.69,0.55,0.56,0.18,0.3,0.28,0.22,0.29,0.25,0.26
199,"Republic of Uzbekistan, Uzbekistan",0.14,0.25,0.25,0.13,0.15,0.2,0.24,0.18,0.19,0.17,0.24,0.18,0.18,0.14,0.14
200,"Republic of Vanuatu, Vanuatu",0.02,0.01,0.01,0.01,0.06,0.03,0.03,0.04,0.03,0.05,0.06,0.05,0.04,0.03,0.03
201,"Republic of Yemen, Yemen",0.14,0.1,0.13,0.06,0.09,0.06,0.09,0.06,0.08,0.21,0.37,0.72,0.57,0.31,0.3
202,"Republic of Zambia, Zambia",0.48,0.45,0.41,0.41,0.38,0.33,0.56,0.63,0.13,0.25,0.17,0.16,0.2,0.19,0.18
203,"Republic of Zimbabwe, Zimbabwe",0.7,0.64,0.72,0.47,0.47,0.4,0.44,0.49,0.33,0.34,0.19,0.17,0.18,0.24,0.18
204,Reunion,0.01,0,0,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0,0,0,0
205,Romania,0.43,0.31,0.22,0.24,0.34,0.35,0.33,0.39,0.54,0.36,0.26,0.26,0.27,0.31,0.33
206,"Russian Federation, Russia",2.1,2.22,2.02,2.37,2.29,2.3,2.34,2.27,2.95,2.24,2.78,2.33,2.47,2.53,3.19
207,"Saint-Barthelemy, Saint Barthelemy",NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
208,"Saint-Martin, Saint Martin",NA,NA,0,NA,0,0,NA,0,0,0,NA,0,0,0,0
209,"Saint-Pierre et Miquelon, Saint Pierre and Miquelon",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
210,"Saint Helena, Ascension, and Tristan da Cunha, Saint Helena",NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,NA
211,Saint Lucia,0.01,0,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.01,0,0,0.01,0.01
212,Saint Vincent and the Grenadines,0.01,0,0,0,0,0.01,NA,0.01,0.01,0,0,0,0,0.01,0
213,Serbia,0.08,0.12,0.03,0.2,0.24,0.34,0.45,0.43,0.54,0.33,0.39,0.34,0.35,0.3,0.34
214,Serbia and Montenegro,0.02,0.01,0,0.01,0,0,0,0,0,0,0,NA,NA,NA,NA
215,Sint Maarten,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,NA
216,"Slovak Republic, Slovakia",0.29,0.24,0.25,0.24,0.29,0.36,0.26,0.23,0.26,0.24,0.23,0.2,0.19,0.19,0.34
217,"Socialist Republic of Vietnam, Vietnam",0.52,0.63,0.78,0.8,0.85,1.04,1.14,1.26,0.67,0.86,0.9,0.86,0.76,0.88,0.91
218,Solomon Islands,0.05,0.01,0.01,0.03,0.04,0.02,0.07,0.07,0.01,0.03,0.05,0.03,0.03,0.04,0.03
219,Somalia,0.15,0.15,0.15,0.13,0.16,0.19,0.24,0.34,0.26,0.48,0.35,0.37,0.41,0.34,0.3
220,South Sudan,0,NA,NA,0,NA,0,0.01,0.02,0,0.01,0.02,0.16,0.33,0.28,0.35
221,"State of Eritrea, Eritrea",0.24,0.12,0.11,0.09,0.13,0.09,0.09,0.09,0.02,0.06,0.04,0.03,0.04,0.05,0.04
222,"State of Israel, Israel",2.47,2.42,2.76,2.35,2,1.94,2.32,1.52,1.33,1.77,1.76,1.44,1.55,1.3,1.22
223,"State of Kuwait, Kuwait",0.55,0.53,0.55,0.6,0.5,0.29,0.27,0.24,0.13,0.2,0.18,0.25,0.15,0.12,0.12
224,"State of Qatar, Qatar",0.25,0.32,0.28,0.45,0.46,0.29,0.35,0.23,0.2,0.25,0.29,0.35,0.39,0.34,0.22
225,"State of the Vatican City, Vatican",0.03,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02
226,"Sultanate of Oman, Oman",0.17,0.14,0.09,0.08,0.15,0.08,0.07,0.09,0.08,0.07,0.09,0.11,0.09,0.08,0.05
227,Svalbard and Jan Mayen,NA,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,NA
228,Switzerland,0.66,0.64,0.62,0.55,0.62,0.64,0.61,0.47,0.63,0.56,0.5,0.35,0.4,0.44,0.52
229,"Syrian Arab Republic, Syria",0.68,0.44,0.31,0.54,0.38,0.56,0.52,0.45,0.31,0.34,0.34,0.94,2.34,2.25,1.37
230,Taiwan,0.9,0.86,0.84,0.71,0.81,1.14,0.86,0.75,1.14,0.85,0.73,0.68,0.68,0.68,0.6
231,"Territory of Christmas Island, Christmas Island",0,0.02,0,0,NA,NA,0,0,NA,0.02,0.03,0.05,0.03,0.01,0.01
232,"Territory of Cocos (Keeling) Islands, Cocos Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0
233,"Territory of Norfolk Island, Norfolk Island",0,0.01,0.01,0.01,0,0,0,0,0,0.01,0.01,0,0.01,0,0
234,"Territory of the French Southern and Antarctic Lands, French Southern Territories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
235,"Togolese Republic, Togo",0.09,0.07,0.05,0.03,0.06,0.11,0.11,0.11,0.07,0.06,0.08,0.04,0.06,0.05,0.04
236,Tokelau,0,0,0,NA,0,0,0,0.01,0,0,0,0,0,0,0
237,Turkmenistan,0.07,0.06,0.07,0.04,0.04,0.04,0.05,0.06,0.07,0.06,0.06,0.05,0.03,0.05,0.07
238,Turks and Caicos Islands,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
239,Tuvalu,0.01,0,0,0,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01
240,Ukraine,0.39,0.45,0.25,0.29,0.47,0.5,0.51,0.47,0.63,0.47,0.46,0.53,0.53,0.52,2.39
241,"Union of Burma, Myanmar",0.47,0.46,0.62,0.54,0.52,0.56,0.45,0.61,0.41,0.69,0.62,0.68,0.85,0.68,0.54
242,Union of Soviet Socialist Republics,0.12,0.13,0.09,0.07,0.09,0.11,0.06,0.07,0.11,0.09,0.11,0.07,0.08,0.06,0.11
243,"Union of the Comoros, Comoros",0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.02
244,United Arab Emirates,0.36,0.28,0.2,0.24,0.43,0.22,0.18,0.36,0.22,0.26,0.28,0.29,0.31,0.35,0.28
245,"United Kingdom of Great Britain and Northern Ireland, United Kingdom",1.92,2.04,1.7,2.5,1.96,1.8,1.48,1.35,1.65,1.51,1.28,1.42,1.71,1.63,1.78
246,"United Republic of Tanzania, Tanzania",0.55,0.58,0.4,0.48,0.41,0.51,0.4,0.42,0.14,0.22,0.17,0.15,0.16,0.26,0.15
247,United States,14.55,16.26,11.22,7.53,5.65,5.32,13.63,14.99,13.88,15.26,15.03,15.7,15.62,15.78,15.23
248,"Virgin Islands of the United States, U.S. Virgin Islands",0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA
249,"Wallis et Futuna, Wallis and Futuna",NA,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,0
250,Western Sahara,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
251,"Yemen, Democratic, Yemen",0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0.01,0.01,0.01
